时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409926086073 230.81157 5.2682033 1.836849  77.66719 45.457996 115.44695 0 0
1409926086086 231.82565 5.493346 2.2817056  78.22667 45.40565 115.697525 0 0
1409926086195 232.2499 5.6108723 2.2422006  78.482735 45.313698 115.81607 0 0
1409926086231 233.03902 6.0351043 1.9618881  79.08936 45.108646 116.0087 0 0
1409926086239 232.89865 6.034258 1.9427605  79.033035 45.124115 115.968414 0 0
1409926086257 232.80011 6.015755 1.9417578  78.98115 45.132187 115.94122 0 0
1409926086299 232.78297 6.0065236 1.9430338  78.963844 45.137577 115.934456 0 0
1409926086330 233.07536 6.0464325 1.9588932  79.11488 45.100677 116.01924 0 0
1409926086338 233.29927 6.1311197 1.9691406  79.259766 45.06591 116.07466 0 0
1409926086383 233.54167 6.224935 1.9755338  79.43313 45.02039 116.138176 0 0
1409926086392 234.03651 6.4840627 1.9881771  79.81306 44.913853 116.25729 0 0
1409926086406 234.2738 6.5934505 2.0019011  79.98478 44.863934 116.317474 0 0
1409926086476 234.45302 6.6566668 2.0284505  80.109245 44.84336 116.36055 0 0
1409926086491 233.75635 6.5877867 1.9202474  79.761406 44.89625 116.16185 0 0
1409926086569 232.5874 6.2314453 1.8332683  79.03233 45.06953 115.84651 0 0
1409926086579 230.85329 5.2878127 1.8386849  77.667435 45.452656 115.43765 0 0
1409926086666 230.99406 5.253203 1.883737  77.70643 45.453934 115.48966 0 0
1409926086693 232.67058 5.695247 2.3871355  78.714035 45.286613 115.92385 0 0
1409926086710 233.37114 5.9807553 2.3995183  79.19875 45.147995 116.10039 0 0
1409926086728 233.44601 6.064492 2.4023829  79.282425 45.132057 116.11263 0 0
1409926086766 233.34135 6.071888 1.9670312  79.218544 45.05927 116.08979 0 0
1409926086822 233.17369 6.043685 1.93625  79.129105 45.075314 116.03802 0 0
1409926086862 233.06877 6.023268 1.9347656  79.07221 45.088985 116.008545 0 0
1409926086878 233.43932 6.1233983 1.9417708  79.298805 45.02185 116.11315 0 0
1409926086895 233.6738 6.211641 1.9550651  79.45595 44.990337 116.17138 0 0
1409926086914 233.93584 6.320065 1.9372916  79.63434 44.9381 116.23662 0 0
1409926086987 234.17885 6.43319 1.9530338  79.81884 44.89375 116.29627 0 0
1409926087031 234.84682 6.7463284 2.001914  80.30653 44.76544 116.45854 0 0
1409926087064 233.13959 6.3629947 2.036875  79.362915 45.025024 115.98177 0 0
1409926087107 232.07266 5.9695444 1.9360938  78.63438 45.200756 115.704506 0 0
1409926087137 231.11005 5.403164 1.7717448  77.83839 45.38682 115.48904 0 0
1409926087153 231.16704 5.301341 2.0346093  77.82197 45.434296 115.52961 0 0
1409926087217 231.47089 5.3471613 2.0409505  77.980835 45.393177 115.61951 0 0
1409926087236 233.39822 5.941367 2.2222917  79.1869 45.11482 116.12102 0 0
1409926087279 233.76328 6.0889583 2.229323  79.4353 45.047997 116.208336 0 0
1409926087285 233.90865 6.1946354 2.055078  79.55358 44.99698 116.23732 0 0
1409926087300 233.79256 6.201081 2.043073  79.516106 44.995754 116.20315 0 0
1409926087373 233.57861 6.189401 2.024896  79.41353 45.0194 116.13643 0 0
1409926087416 233.36984 6.1293488 2.0089064  79.28473 45.049713 116.07888 0 0
1409926087418 233.6001 6.202357 2.0202866  79.43109 45.01172 116.13979 0 0
1409926087439 233.85374 6.3021874 2.0385547  79.6069 44.967056 116.20596 0 0
1409926087473 234.10152 6.3920965 2.0371614  79.777275 44.93237 116.26854 0 0
1409926087537 234.3688 6.510065 2.0658073  79.9672 44.88776 116.33555 0 0
1409926087556 235.01724 6.854779 2.0589192  80.468506 44.72719 116.49354 0 0
1409926087592 234.30708 6.6767707 1.8392578  80.040886 44.804142 116.30701 0 0
1409926087605 233.16609 6.3404427 1.7376953  79.31663 44.962708 115.99776 0 0
1409926087641 232.07307 5.9224477 1.6640234  78.581924 45.15276 115.71427 0 0
1409926087728 231.12158 5.327617 1.8176433  77.830536 45.404766 115.50654 0 0
1409926087815 232.42192 5.546185 1.9739453  78.483246 45.244972 115.8799 0 0
1409926087825 233.68745 6.09625 2.046914  79.3837 45.010494 116.18899 0 0
1409926087914 233.57417 6.1120963 1.9684895  79.3334 45.03474 116.14318 0 0
1409926087931 233.06763 5.996862 1.9066536  79.0394 45.089504 116.004326 0 0
1409926087987 233.19469 6.03625 1.9289583  79.12697 45.075783 116.03888 0 0
1409926088042 233.8188 6.2266665 1.9545833  79.51826 44.97672 116.2057 0 0
1409926088121 234.52322 6.5726695 1.9853646  80.04708 44.83966 116.37703 0 0
1409926088163 233.1274 6.267513 1.8645703  79.252556 45.016354 115.98927 0 0
1409926088255 230.61646 5.108828 1.7183204  77.41169 45.49344 115.37875 0 0
1409926088301 231.38937 5.1228514 2.259453  77.77733 45.514923 115.59976 0 0
1409926088400 232.17644 5.372578 2.326146  78.27275 45.390965 115.809814 0 0
1409926088437 232.19292 5.5352993 1.661875  78.311005 45.257343 115.788155 0 0
1409926088449 232.19243 5.528164 1.6570182  78.30134 45.255913 115.78917 0 0
1409926088513 232.26677 5.530078 1.65  78.336174 45.24393 115.8131 0 0
1409926088581 232.82823 5.719492 1.6942968  78.69918 45.155 115.95948 0 0
1409926088656 233.50343 5.999271 1.7391406  79.1805 45.025913 116.13141 0 0
1409926088705 232.85889 5.8989716 1.8131641  78.880035 45.114193 115.95219 0 0
1409926088827 229.66518 4.5145183 1.4554948  76.62026 45.652397 115.19841 0 0
1409926088854 232.98396 5.5466537 2.2322135  78.802345 45.332603 116.07849 0 0
1409926088949 233.17062 5.6358204 2.218203  78.94538 45.285885 116.127655 0 0
1409926089004 232.89928 5.6122007 2.1263802  78.83756 45.291092 116.05034 0 0
1409926089073 233.07735 5.6566796 2.141224  78.9438 45.26383 116.10271 0 0
1409926089093 233.67416 5.8953514 2.095065  79.3306 45.146954 116.24591 0 0
1409926089199 234.10657 6.100482 2.085013  79.63585 45.055286 116.344635 0 0
1409926089233 232.84427 5.8458204 1.9313672  78.91935 45.19875 115.98924 0 0
1409926089302 231.15869 5.053854 1.8772396  77.68831 45.536198 115.58216 0 0
1409926089386 231.18047 4.8172917 2.1398308  77.56436 45.6187 115.63784 0 0
1409926089442 232.66234 5.3116274 2.5149739  78.49328 45.45831 115.99305 0 0
1409926089506 232.86855 5.505039 2.5276172  78.71105 45.402527 116.02888 0 0
1409926089598 232.62099 5.473138 2.4632683  78.58533 45.41492 115.9557 0 0
1409926089689 233.41731 5.7458854 2.4934244  79.10412 45.269608 116.17136 0 0
1409926089742 234.10532 6.054401 2.1196876  79.58905 45.06552 116.35018 0 0
1409926089815 233.956 6.08237 2.113659  79.555534 45.076694 116.29984 0 0
1409926089887 230.67287 4.6803255 1.9070964  77.22668 45.66831 115.49617 0 0
1409926089942 231.21677 4.7876563 2.444948  77.55129 45.67966 115.6257 0 0
1409926090013 232.67928 5.271263 2.4197657  78.46836 45.454037 116.00586 0 0
1409926090095 232.6551 5.372682 2.3844793  78.52957 45.42013 115.98357 0 0
1409926090120 232.61229 5.3438153 2.3454688  78.48559 45.418385 115.9724 0 0
1409926090229 233.04268 5.508685 2.3947396  78.77841 45.35781 116.08138 0 0
1409926090241 234.05844 5.9208074 2.198021  79.49753 45.114376 116.355286 0 0
1409926090297 234.20839 6.0141277 2.205651  79.618256 45.08513 116.381744 0 0
1409926090433 232.86954 5.700846 2.0539713  78.83861 45.248905 116.01461 0 0
1409926090463 231.64052 4.8696747 2.2516015  77.73404 45.59461 115.74125 0 0
1409926090496 232.4687 5.1253905 2.3328905  78.260544 45.478516 115.96086 0 0
1409926090564 233.09143 5.3390102 2.168255  78.71199 45.330467 116.15281 0 0
1409926090636 232.9437 5.406224 1.9124088  78.67663 45.291588 116.09487 0 0
1409926090676 232.81088 5.3397527 1.9661198  78.596535 45.31802 116.07122 0 0
1409926090751 233.15479 5.4689064 2.0120964  78.841484 45.265236 116.16133 0 0
1409926090831 234.07791 5.9040103 2.1133723  79.48076 45.1094 116.36219 0 0
1409926090860 234.39365 6.177578 2.0632813  79.7907 45.004974 116.415886 0 0
1409926090971 233.68256 5.9878774 2.0157552  79.35801 45.104923 116.22037 0 0
1409926091000 231.36317 4.8124347 2.2897787  77.59547 45.64805 115.66226 0 0
1409926091124 232.08815 5.016237 2.3616016  78.04197 45.551952 115.85779 0 0
1409926091155 232.53796 5.342552 2.1322656  78.437126 45.389297 115.95612 0 0
1409926091207 232.42833 5.293724 2.1066146  78.358864 45.40729 115.92602 0 0
1409926091276 232.65448 5.343008 2.1604948  78.490364 45.38742 115.99245 0 0
1409926091354 233.24838 5.586641 2.1878386  78.915504 45.280678 116.14448 0 0
1409926091411 233.67265 5.7434764 2.2464454  79.26245 45.184975 116.278595 0 0
1409926091460 232.01297 5.333216 2.0471613  78.26557 45.39581 115.81812 0 0
1409926091564 230.49286 4.625664 1.7608073  77.098434 45.68797 115.43823 0 0
1409926091607 232.66208 5.2020183 2.497513  78.50835 45.538567 116.04982 0 0
1409926091750 233.40459 5.466979 2.6001823  79.04356 45.40552 116.25833 0 0
1409926091811 233.42032 5.569961 2.5273957  79.10363 45.373463 116.24097 0 0
1409926091853 233.97652 5.801836 2.5502083  79.477905 45.27672 116.37263 0 0
1409926091902 234.3125 5.9848437 2.5801432  79.7411 45.213646 116.44581 0 0
1409926092044 234.65231 6.145273 2.5692317  79.98666 45.14138 116.52412 0 0
1409926092078 231.41359 4.717461 2.3567579  77.63582 45.73125 115.7282 0 0
1409926092110 231.69225 4.784245 2.3722527  77.80225 45.698074 115.8069 0 0
1409926092185 232.03114 4.872591 2.42306  78.00668 45.653774 115.89974 0 0
1409926092230 233.10318 5.33974 2.4546876  78.78953 45.43526 116.17552 0 0
1409926092297 232.89919 5.3022785 2.5713673  78.730156 45.47544 116.124374 0 0
1409926092357 232.96355 5.3128514 2.3244922  78.74527 45.4218 116.151825 0 0
1409926092427 233.4748 5.549232 2.631198  79.12174 45.36151 116.263596 0 0
1409926092474 234.01505 5.803841 2.6976433  79.5078 45.277916 116.38323 0 0
1409926092600 234.465 6.04987 2.6651692  79.852745 45.1688 116.48268 0 0
1409926092620 231.21797 4.756862 2.4278646  77.60944 45.7344 115.66089 0 0
1409926092734 231.20464 4.6566925 2.794349  77.5471 45.81388 115.66399 0 0
1409926092772 232.79614 5.0871224 2.9091537  78.52703 45.576405 116.100914 0 0
1409926092802 233.10594 5.312995 2.9049218  78.80611 45.489582 116.16344 0 0
1409926092876 232.99393 5.314492 2.9185026  78.75789 45.5075 116.12469 0 0
1409926092928 233.03818 5.3398046 2.4576042  78.74927 45.439507 116.14818 0 0
1409926093024 233.43484 5.4958982 2.4779167  79.02043 45.366356 116.248726 0 0
1409926093048 234.36656 5.9227343 2.5116928  79.713356 45.189922 116.46971 0 0
1409926093142 234.52068 6.0059247 2.542461  79.83957 45.17195 116.50221 0 0
1409926093175 232.8715 5.599987 2.40194  78.843216 45.364403 116.04557 0 0
1409926093198 231.50122 4.8608985 2.3384767  77.79198 45.664764 115.73229 0 0
1409926093250 231.39906 4.7260027 2.013737  77.63315 45.65828 115.72365 0 0
1409926093288 231.89511 4.8052864 2.078125  77.8979 45.61216 115.86761 0 0
1409926093341 232.68515 5.0315104 2.1566277  78.39775 45.493412 116.08669 0 0
1409926093398 233.64511 5.4283724 2.240729  79.08839 45.322006 116.33627 0 0
1409926093472 233.50136 5.5500913 2.269388  79.065 45.335026 116.25055 0 0
1409926093515 233.46245 5.517539 2.253125  79.01458 45.333725 116.24521 0 0
1409926093636 234.06953 5.756888 2.2753515  79.439255 45.229427 116.399895 0 0
1409926093672 235.16682 6.3285027 2.316849  80.2732 45.000416 116.63906 0 0
1409926093697 235.2127 6.3772264 2.5831902  80.36832 45.014713 116.65662 0 0
1409926093787 235.10365 6.373594 2.594987  80.32704 45.023254 116.62255 0 0
1409926093855 231.75848 4.960768 2.378828  77.94152 45.62943 115.78974 0 0
1409926093939 232.58664 5.096927 2.1693099  78.36748 45.490158 116.039375 0 0
1409926093998 234.0273 5.7232423 2.6763802  79.43295 45.29284 116.38211 0 0
1409926094082 233.70953 5.7028904 2.6114323  79.281746 45.306225 116.28703 0 0
1409926094159 234.02579 5.817565 2.651263  79.48933 45.26513 116.36614 0 0
1409926094186 234.83786 6.164635 2.6571355  80.06092 45.110233 116.56797 0 0
1409926094213 235.00829 6.2522006 2.7127995  80.19948 45.079453 116.60805 0 0
1409926094279 235.18568 6.355182 2.6952474  80.34638 45.037395 116.64904 0 0
1409926094378 234.49657 6.303099 2.5891926  80.0103 45.09669 116.43914 0 0
1409926094402 230.68452 4.53069 1.9314193  77.0541 45.70901 115.482346 0 0
1409926094430 231.00848 4.6054688 1.9608463  77.23732 45.66656 115.56862 0 0
1409926094492 232.8163 5.231458 2.2878385  78.536575 45.465885 116.07536 0 0
1409926094552 233.93349 5.6152472 2.4895182  79.321976 45.295753 116.38049 0 0
1409926094608 234.0174 5.80375 2.5854557  79.47836 45.25818 116.370705 0 0
1409926094696 233.73817 5.7302604 2.551224  79.31963 45.286354 116.2987 0 0
1409926094721 234.6511 6.091471 2.5977995  79.94082 45.1256 116.525024 0 0
1409926094821 234.85 6.1778383 2.6273568  80.0857 45.08953 116.57328 0 0
1409926094838 235.58276 6.5463543 2.7084897  80.65069 44.955208 116.74664 0 0
1409926094935 235.6711 6.6138673 2.7257812  80.733154 44.935287 116.76492 0 0
1409926095041 230.85828 4.7385416 2.033763  77.30436 45.646275 115.50391 0 0
1409926095075 232.20714 4.9773436 2.1590624  78.02047 45.490757 115.891846 0 0
1409926095096 232.99417 5.241159 1.8298438  78.52981 45.298412 116.108955 0 0
1409926095163 233.18692 5.337409 1.825651  78.66948 45.254715 116.15479 0 0
1409926095230 232.8775 5.3885155 1.7618229  78.56935 45.262005 116.04542 0 0
1409926095352 233.02748 5.416289 1.7994661  78.652435 45.241016 116.0918 0 0
1409926095419 234.39671 5.985117 2.0620573  79.64156 45.01724 116.433304 0 0
1409926095462 234.76599 6.2183595 2.0558724  79.94542 44.929115 116.50735 0 0
1409926095542 233.38089 5.846172 1.9419011  79.110886 45.118202 116.12937 0 0
1409926095562 231.10115 4.7440367 1.8461589  77.39145 45.579712 115.579765 0 0
1409926095661 231.36192 4.757331 1.929961  77.51577 45.5769 115.65797 0 0
1409926095732 233.48802 5.423698 2.0653255  78.87086 45.238228 116.23115 0 0
1409926095783 233.23177 5.545742 2.1352475  78.85121 45.242058 116.12622 0 0
1409926095881 233.06763 5.4696093 2.095013  78.727264 45.270313 116.08693 0 0
1409926095932 234.01265 5.799206 1.9112891  79.36048 45.069244 116.344795 0 0
1409926096024 234.63808 6.108659 1.9377214  79.82495 44.949894 116.486015 0 0
1409926096083 233.9166 6.0558205 1.8210417  79.46983 45.00292 116.26511 0 0
1409926096162 231.25333 4.9554687 1.8180989  77.59736 45.50492 115.59276 0 0
1409926096194 232.01422 4.9840627 2.2721484  77.93337 45.51185 115.8107 0 0
1409926096304 232.46109 5.1184373 2.291198  78.21363 45.441303 115.9312 0 0
1409926096356 233.14317 5.5053387 2.1478906  78.79774 45.25677 116.10458 0 0
1409926096457 232.93683 5.4153123 1.7852604  78.63655 45.233307 116.06776 0 0
1409926096542 234.02562 5.83582 2.1539974  79.38474 45.09771 116.33352 0 0
1409926096602 234.74042 6.214909 2.144883  79.922165 44.951744 116.486534 0 0
1409926096636 232.5262 5.5591664 1.952474  78.550285 45.26198 115.8949 0 0
1409926096715 231.52641 5.1321483 1.8828385  77.82562 45.44026 115.64497 0 0
1409926096767 231.62843 4.7815366 1.8345443  77.636696 45.532814 115.73797 0 0
1409926096844 232.44911 5.0352864 1.9110547  78.15845 45.420753 115.95065 0 0
1409926096900 232.92276 5.3442316 1.8652604  78.5314 45.283127 116.0468 0 0
1409926096975 232.57906 5.2534766 1.8370053  78.3235 45.332058 115.95073 0 0
1409926097004 233.1687 5.443841 1.8715755  78.69893 45.240078 116.10956 0 0
1409926097148 233.38347 5.5171742 1.8932812  78.84675 45.201668 116.167656 0 0
1409926097190 233.37703 5.7383986 1.7866536  79.009964 45.110184 116.14208 0 0
1409926097273 231.24422 4.95013 1.6277083  77.552216 45.466274 115.589165 0 0
1409926097389 230.90182 4.510534 1.8098828  77.1315 45.65333 115.54828 0 0
1409926097407 234.02333 5.6701565 2.2486067  79.40028 45.20435 116.407265 0 0
1409926097515 233.87224 5.6540756 2.225651  79.31727 45.219635 116.359924 0 0
1409926097559 233.94812 5.691458 2.2058723  79.37633 45.195 116.38232 0 0
1409926097578 234.16286 5.7739844 2.2350261  79.52892 45.16443 116.434944 0 0
1409926097647 234.3753 5.862578 2.24444  79.66582 45.126225 116.48331 0 0
1409926097713 235.16432 6.265586 2.2672005  80.2641 44.967762 116.66198 0 0
1409926097800 234.56932 6.1946225 2.2003515  79.9387 45.019947 116.477165 0 0
1409926097811 231.74197 4.8984375 2.194974  77.86371 45.58987 115.77659 0 0
1409926097910 231.82098 4.835651 2.0982552  77.85401 45.600834 115.81672 0 0
1409926097951 233.60016 5.3595963 2.2233202  78.97922 45.32432 116.307396 0 0
1409926098079 233.94917 5.571393 2.4547265  79.261696 45.26547 116.37456 0 0
1409926098122 233.91214 5.6313934 2.4422917  79.2816 45.24953 116.353226 0 0
1409926098143 234.15588 5.7196093 2.4563673  79.44892 45.20906 116.41662 0 0
1409926098196 234.59854 5.9240236 2.4651954  79.756134 45.125652 116.51458 0 0
1409926098267 234.9989 6.1290236 2.4780078  80.04866 45.04737 116.602165 0 0
1409926098348 234.93027 6.2745442 2.4604557  80.12745 45.020573 116.55937 0 0
1409926098376 231.79588 4.901146 2.3273697  77.89794 45.61047 115.78453 0 0
1409926098445 231.79417 4.8128123 2.131211  77.79884 45.588566 115.79945 0 0
1409926098501 233.2664 5.1871877 2.297539  78.7043 45.389114 116.21617 0 0
1409926098619 234.12651 5.606315 2.426771  79.349556 45.24125 116.41802 0 0
1409926098677 233.60959 5.5171485 2.343802  79.04962 45.29133 116.26833 0 0
1409926098698 233.90698 5.626055 2.379974  79.25676 45.248386 116.34266 0 0
1409926098739 234.36641 5.8207684 2.4253385  79.57877 45.17284 116.45261 0 0
1409926098816 234.76869 5.986068 2.4643228  79.85727 45.108437 116.55023 0 0
1409926098886 235.26312 6.3277345 2.3803256  80.31165 44.94781 116.65643 0 0
1409926098955 232.05531 5.144453 2.2639973  78.17556 45.504765 115.83096 0 0
1409926098999 231.64401 4.711732 2.343151  77.68478 45.666172 115.76437 0 0
1409926099100 232.33401 4.8947396 2.4409115  78.10947 45.570858 115.95362 0 0
1409926099126 233.41046 5.365052 2.5275  78.905075 45.375546 116.22956 0 0
1409926099231 233.04839 5.2977085 2.3395574  78.6798 45.383854 116.12802 0 0
1409926099264 233.3674 5.368659 1.9498047  78.861 45.28229 116.23427 0 0
1409926099330 233.54526 5.44819 1.9616667  79.00195 45.246147 116.27901 0 0
1409926099387 234.30151 5.801237 2.098763  79.57065 45.12763 116.46086 0 0
1409926099466 234.41313 5.8955207 2.0444531  79.67217 45.079662 116.481224 0 0
1409926099488 231.23317 4.72263 1.8302604  77.49941 45.6231 115.64323 0 0
1409926099583 230.79906 4.4789195 1.8246484  77.11702 45.718674 115.54625 0 0
1409926099634 231.83698 4.6677995 2.3304558  77.70506 45.66651 115.82024 0 0
1409926099724 232.47041 4.9264975 2.1777864  78.14543 45.514713 115.98893 0 0
1409926099823 232.16167 4.884531 2.1453905  77.98723 45.55068 115.896065 0 0
1409926099901 232.89505 5.1533856 2.2033074  78.48531 45.435623 116.09117 0 0
1409926099954 233.4117 5.3909245 2.2076952  78.86341 45.330677 116.21849 0 0
1409926100054 233.63963 5.566276 2.3895183  79.10707 45.27831 116.26872 0 0
1409926100110 230.21992 4.174935 1.8364062  76.69271 45.853176 115.40708 0 0
1409926100230 232.10197 4.7614455 2.6045573  77.97431 45.715157 115.9187 0 0
1409926100269 233.33255 5.240469 2.3929298  78.84819 45.436745 116.26688 0 0
1409926100341 233.11928 5.2132683 2.5341537  78.74358 45.481667 116.19625 0 0
1409926100410 233.37 5.2826433 2.5588021  78.903694 45.446796 116.267784 0 0
1409926100424 233.96072 5.5446095 2.608646  79.333595 45.33966 116.419426 0 0
1409926100488 234.13562 5.6140885 2.621992  79.458046 45.30349 116.46136 0 0
1409926100540 234.72891 5.962695 2.6360157  79.92713 45.17906 116.583435 0 0
1409926100701 234.86313 6.0458856 2.6197655  80.02923 45.143856 116.61021 0 0
1409926100740 232.11177 4.72181 2.608854  77.98526 45.69841 115.94128 0 0
1409926100788 232.78865 4.923229 2.649466  78.41999 45.58711 116.12758 0 0
1409926100855 233.35278 5.1523175 2.6966927  78.819466 45.484764 116.27742 0 0
1409926100923 233.35185 5.2795444 2.5401301  78.88405 45.43656 116.253204 0 0
1409926101008 233.34763 5.275781 2.5332422  78.88594 45.44078 116.25169 0 0
1409926101088 234.19417 5.6289325 2.5540495  79.48285 45.26927 116.46904 0 0
1409926101132 234.86766 5.9929295 2.544896  79.98621 45.12427 116.61768 0 0
1409926101229 235.26276 6.2261586 2.4464324  80.313805 45.025623 116.70758 0 0
1409926101257 233.44255 5.679622 2.2823439  79.172516 45.292137 116.215706 0 0
1409926101299 232.58907 5.2838283 2.2393098  78.5391 45.457397 116.012085 0 0
1409926101383 232.12666 4.8553123 2.2748568  78.0424 45.623856 115.921326 0 0
