时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409926083935 231.49292 5.8564844 1.9556901  78.28211 45.30044 115.50026 0 0
1409926083942 232.16893 6.1167836 2.1459246  78.77426 45.185287 115.683464 0 0
1409926083960 232.14899 6.1888413 2.1490495  78.82168 45.16763 115.66688 0 0
1409926084003 231.9864 6.228268 2.1100261  78.774376 45.170597 115.60789 0 0
1409926084013 231.78479 6.1845703 2.091836  78.66246 45.194637 115.55349 0 0
1409926084027 231.60036 6.0950522 2.0726953  78.52705 45.226536 115.5089 0 0
1409926084044 231.57755 6.0582814 2.0832942  78.48695 45.238594 115.50651 0 0
1409926084060 231.6627 6.0608335 2.0627995  78.524216 45.22578 115.53224 0 0
1409926084099 231.79141 6.097357 2.0933723  78.59789 45.207943 115.56492 0 0
1409926084127 232.12198 6.200078 2.1060417  78.8099 45.16039 115.65542 0 0
1409926084188 232.27765 6.225677 2.1257553  78.89674 45.144947 115.699295 0 0
1409926084219 232.90834 6.514388 2.1098306  79.34954 45.012318 115.86229 0 0
1409926084232 233.05145 6.5929036 2.145625  79.46567 44.98711 115.89167 0 0
1409926084281 233.11607 6.6370835 1.8030599  79.50849 44.9219 115.917915 0 0
1409926084298 230.9601 6.073529 1.6227474  78.21582 45.21862 115.3306 0 0
1409926084357 230.14323 5.678255 1.7395183  77.63836 45.390495 115.13937 0 0
1409926084366 229.58524 5.2629685 1.7471354  77.135025 45.5438 115.0331 0 0
1409926084381 229.76495 5.3085284 1.8409375  77.20777 45.55474 115.06435 0 0
1409926084408 231.54709 5.925742 2.2827213  78.43875 45.376537 115.548904 0 0
1409926084435 231.83951 6.002331 2.2865233  78.60788 45.33323 115.63159 0 0
1409926084450 232.13922 6.0834503 2.3140495  78.790405 45.280262 115.714714 0 0
1409926084466 232.38536 6.109779 2.0511718  78.92056 45.190807 115.80159 0 0
1409926084512 232.6613 6.2058854 2.0895443  79.1125 45.151535 115.87443 0 0
1409926084539 232.77844 6.310599 2.0834897  79.22566 45.112606 115.89873 0 0
1409926084615 232.71547 6.3323827 2.2528906  79.22249 45.151016 115.868645 0 0
1409926084658 232.72528 6.3934116 2.2043228  79.26152 45.12664 115.86375 0 0
1409926084667 233.03716 6.456953 2.2580078  79.43781 45.090546 115.95375 0 0
1409926084683 233.22697 6.5197916 2.234961  79.559204 45.048073 116.00224 0 0
1409926084702 233.4299 6.597344 2.2651694  79.70112 45.02034 116.05427 0 0
1409926084739 233.65746 6.6929817 2.2424738  79.86397 44.9631 116.11516 0 0
1409926084762 233.89693 6.8316665 2.2521224  80.05883 44.921303 116.17232 0 0
1409926084770 234.0887 6.9559374 2.2859116  80.22033 44.880833 116.21112 0 0
1409926084788 234.2038 7.04237 2.2697265  80.316536 44.84578 116.23182 0 0
1409926084850 234.07677 7.0621743 2.2595704  80.27362 44.847553 116.1882 0 0
1409926084871 231.56335 6.1317577 1.9052343  78.58383 45.24659 115.54378 0 0
1409926084899 230.99498 5.805495 1.8979948  78.12721 45.372032 115.410416 0 0
1409926084903 230.74362 5.6041536 1.8859375  77.879105 45.436977 115.36242 0 0
1409926084937 230.77214 5.490039 2.1951952  77.82109 45.49716 115.38685 0 0
1409926085011 231.0137 5.5382423 2.2494402  77.96276 45.474167 115.45688 0 0
1409926085022 232.30995 5.921055 2.3108463  78.76082 45.263386 115.80555 0 0
1409926085061 232.51828 6.0285025 2.3083334  78.9148 45.21581 115.852554 0 0
1409926085073 232.53911 6.0428257 2.3272004  78.93654 45.21409 115.85669 0 0
1409926085099 232.50316 6.0408463 2.3129427  78.91914 45.212524 115.845726 0 0
1409926085107 232.46927 6.059297 2.2807553  78.917786 45.2056 115.83771 0 0
1409926085150 232.46849 6.094805 2.2928777  78.940704 45.20591 115.832184 0 0
1409926085177 232.49258 6.065417 2.2702734  78.92142 45.198097 115.8431 0 0
1409926085191 232.62209 6.101901 2.2994142  79.00488 45.190025 115.87581 0 0
1409926085228 232.82813 6.180013 2.3265886  79.14788 45.155704 115.92789 0 0
1409926085244 233.24901 6.319375 2.3620572  79.41972 45.086876 116.04094 0 0
1409926085261 233.47052 6.405794 1.6904948  79.52547 44.953934 116.10781 0 0
1409926085313 233.70183 6.522917 1.7133464  79.70784 44.909946 116.163956 0 0
1409926085346 234.10204 6.736784 1.745026  80.02867 44.83078 116.26294 0 0
1409926085379 234.07182 6.80918 1.7223828  80.060326 44.81138 116.245 0 0
1409926085392 233.33 6.633073 1.6382031  79.62421 44.895206 116.03982 0 0
1409926085410 232.24844 6.22832 1.5499479  78.88992 45.0706 115.75862 0 0
1409926085427 231.35443 5.7984767 1.4982682  78.2291 45.24112 115.53932 0 0
1409926085473 230.86198 5.5063543 1.492552  77.824295 45.35685 115.42922 0 0
1409926085481 230.66797 5.33569 2.0450652  77.69236 45.492863 115.39479 0 0
1409926085495 230.8048 5.340508 2.0533333  77.751396 45.478413 115.439064 0 0
1409926085511 231.08203 5.3937893 2.091289  77.90791 45.456303 115.51688 0 0
1409926085576 231.4864 5.508294 2.1860678  78.1187 45.42755 115.60315 0 0
1409926085583 232.19333 5.6982293 2.2837892  78.54374 45.32112 115.794586 0 0
1409926085600 232.56024 5.8435287 2.3028905  78.78882 45.254375 115.88901 0 0
1409926085639 232.78828 5.9465756 2.2789974  78.95371 45.196877 115.94458 0 0
1409926085647 232.74495 6.026693 2.2505338  78.99018 45.174217 115.923 0 0
1409926085663 232.61328 5.977956 1.9929427  78.90406 45.16807 115.89372 0 0
1409926085744 232.52042 5.9615626 1.9803776  78.85345 45.18117 115.86734 0 0
1409926085766 232.69234 5.9183335 2.0091276  78.90365 45.17448 115.92661 0 0
1409926085805 233.22244 6.1354427 2.0241146  79.269905 45.070858 116.0632 0 0
1409926085816 233.48344 6.2759633 2.025078  79.467354 45.022606 116.11862 0 0
1409926085831 233.71864 6.3684373 2.0648048  79.6294 44.982944 116.178986 0 0
1409926085871 233.94719 6.480143 2.0890234  79.803154 44.947342 116.23445 0 0
1409926085900 234.3762 6.7163672 2.0807812  80.14267 44.850365 116.33669 0 0
1409926085941 234.40958 6.7564454 2.0880468  80.184456 44.83552 116.34102 0 0
1409926085976 233.1026 6.43694 1.9404688  79.40579 45.001926 115.98196 0 0
1409926085986 231.23239 5.6615887 1.8234895  78.10635 45.32927 115.51463 0 0
1409926086018 230.85922 5.4133463 1.8210026  77.77228 45.424686 115.43175 0 0
