时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927156799 214.8793 33.1634 12.862786  90.51743 44.492264 107.01305 0 0
1409927156809 214.64662 33.155468 12.940612  90.445145 44.533775 106.95776 0 0
1409927156882 214.55615 33.220337 13.000378  90.45676 44.548046 106.92549 0 0
1409927156901 214.7064 33.15271 12.988021  90.46387 44.543385 106.97677 0 0
1409927157002 214.78075 33.06633 12.939232  90.43793 44.53677 107.011955 0 0
1409927157048 215.04263 32.907837 12.767643  90.41646 44.497658 107.106926 0 0
1409927157119 214.88841 32.773827 12.741446  90.28512 44.522915 107.09318 0 0
1409927157129 214.91376 32.821392 12.73552  90.316 44.51357 107.09399 0 0
1409927157169 214.90973 32.723736 12.68862  90.25831 44.51755 107.11198 0 0
1409927157203 214.9619 32.48638 12.5550785  90.12835 44.519142 107.17477 0 0
1409927157222 215.00172 32.43056 12.507865  90.09768 44.51508 107.19365 0 0
1409927157230 215.0438 32.433723 12.526263  90.11987 44.51414 107.20117 0 0
1409927157270 215.07776 32.457733 12.491198  90.1391 44.50013 107.20521 0 0
1409927157283 215.16438 32.53794 12.545625  90.21943 44.48818 107.21013 0 0
1409927157379 215.17525 32.45401 12.482175  90.16568 44.486458 107.230156 0 0
1409927157426 214.8782 32.475403 12.503737  90.089645 44.513725 107.14961 0 0
1409927157441 214.23033 32.42345 12.609987  89.857574 44.606277 107.0019 0 0
1409927157449 214.07823 32.44396 12.684545  89.82569 44.63318 106.961876 0 0
1409927157467 214.06805 32.501484 12.731159  89.85917 44.639923 106.94719 0 0
1409927157541 214.14246 32.58811 12.768386  89.937744 44.627007 106.94839 0 0
1409927157641 214.49266 32.67819 12.751276  90.09892 44.57432 107.02005 0 0
1409927157708 214.7489 32.71539 12.705963  90.199974 44.538593 107.07169 0 0
1409927157744 214.64055 32.680325 12.702695  90.14543 44.549454 107.05518 0 0
1409927157786 214.66556 32.671497 12.697917  90.14759 44.54849 107.062706 0 0
1409927157788 214.76329 32.71501 12.718997  90.203865 44.536068 107.07586 0 0
1409927157841 214.834 32.742527 12.703828  90.243805 44.52461 107.09104 0 0
1409927157866 214.97601 32.857292 12.727735  90.35918 44.50047 107.100914 0 0
1409927157878 215.01604 32.865364 12.707539  90.37113 44.491276 107.10958 0 0
1409927157947 215.05896 32.878452 12.687226  90.38952 44.477943 107.11935 0 0
1409927157999 215.1742 32.88181 12.66681  90.42665 44.463905 107.1438 0 0
1409927158007 214.88753 32.815937 12.658138  90.29973 44.49513 107.08573 0 0
1409927158026 214.5691 32.821964 12.742513  90.20932 44.543594 107.00586 0 0
1409927158144 214.22542 32.778687 12.799674  90.07722 44.592213 106.927345 0 0
1409927158187 214.2558 32.974766 12.954804  90.21296 44.597187 106.89948 0 0
1409927158199 214.4326 32.917538 12.87457  90.227875 44.56948 106.95534 0 0
1409927158209 214.4847 32.85508 12.840989  90.20926 44.56802 106.980965 0 0
1409927158228 214.55112 32.831837 12.816706  90.211876 44.559715 106.99992 0 0
1409927158267 214.55556 32.775223 12.771615  90.17461 44.561718 107.01349 0 0
1409927158279 214.5391 32.715286 12.775911  90.14336 44.571278 107.019554 0 0
1409927158303 214.53505 32.72078 12.765717  90.14048 44.566902 107.01872 0 0
1409927158369 214.53339 32.796978 12.785481  90.18689 44.561977 107.00208 0 0
1409927158439 214.5411 32.787785 12.792695  90.18526 44.56333 107.00536 0 0
1409927158445 214.66695 32.789516 12.748581  90.2203 44.542004 107.036644 0 0
1409927158464 214.74364 32.78642 12.73138  90.23963 44.530807 107.05586 0 0
1409927158508 214.78859 32.80827 12.742552  90.27296 44.527267 107.0618 0 0
1409927158523 214.85117 32.838943 12.731198  90.30822 44.512344 107.070885 0 0
1409927158541 214.91954 32.92004 12.763803  90.38068 44.503098 107.07287 0 0
1409927158558 214.95775 32.95973 12.751145  90.41565 44.48776 107.07495 0 0
1409927158625 214.9679 32.889416 12.737201  90.37642 44.496746 107.08854 0 0
1409927158679 214.96558 33.015858 12.771627  90.45082 44.483074 107.061455 0 0
1409927158681 214.07854 32.955532 12.939987  90.15249 44.60966 106.8556 0 0
1409927158698 213.91473 32.99051 12.982591  90.122314 44.631226 106.80815 0 0
1409927158768 213.91368 33.029922 13.013867  90.14439 44.63237 106.79883 0 0
1409927158789 214.2839 33.291668 13.103997  90.423294 44.57797 106.8399 0 0
1409927158827 214.38144 33.288685 13.064492  90.45129 44.564793 106.86461 0 0
1409927158846 214.47253 33.2863 13.061602  90.475296 44.553333 106.88661 0 0
1409927158868 214.53809 33.24357 13.022604  90.47004 44.54375 106.91143 0 0
1409927158941 214.6209 33.258007 13.006094  90.50488 44.534817 106.92758 0 0
1409927158943 214.63695 33.407005 13.059218  90.5991 44.52039 106.899506 0 0
1409927159005 214.58347 33.35823 13.041589  90.55574 44.524975 106.89956 0 0
1409927159098 214.66508 33.457096 13.067058  90.63664 44.513306 106.89919 0 0
1409927159104 214.92654 33.58177 13.094609  90.79807 44.477993 106.93435 0 0
1409927159164 214.98856 33.65082 13.080391  90.85646 44.456665 106.938805 0 0
1409927159177 215.10545 33.78121 13.112058  90.97255 44.433804 106.94148 0 0
1409927159246 215.13846 33.80478 13.126615  90.997314 44.4293 106.94544 0 0
1409927159285 214.88809 33.83733 13.147148  90.936226 44.45258 106.87315 0 0
1409927159419 214.54945 33.76883 13.206393  90.794495 44.5056 106.80378 0 0
1409927159466 214.54456 34.0137 13.408516  90.94802 44.519035 106.752525 0 0
1409927159480 214.70015 33.860664 13.285078  90.899345 44.501953 106.823204 0 0
1409927159558 214.78352 33.874622 13.253711  90.933525 44.480442 106.84128 0 0
1409927159562 214.67613 33.787487 13.245703  90.84758 44.504765 106.83125 0 0
1409927159648 214.62549 33.73065 13.22914  90.80091 44.515625 106.83021 0 0
1409927159664 214.79752 33.77039 13.2048435  90.87259 44.485912 106.86745 0 0
1409927159722 214.82695 33.724987 13.176367  90.85527 44.47987 106.88302 0 0
1409927159748 214.86485 33.425404 13.039544  90.68713 44.489376 106.95213 0 0
1409927159827 214.9613 33.460835 13.014193  90.735794 44.470757 106.969086 0 0
1409927159905 215.05621 33.474022 13.016732  90.772446 44.459637 106.98646 0 0
1409927159977 214.09967 33.528816 13.217682  90.51529 44.58362 106.739555 0 0
1409927159986 214.18788 33.768776 13.386784  90.69716 44.583256 106.714035 0 0
1409927160105 214.33437 33.830666 13.390911  90.77861 44.559296 106.740234 0 0
1409927160162 214.73117 33.79047 13.264805  90.870155 44.501926 106.84323 0 0
1409927160239 214.67912 33.87159 13.317252  90.90778 44.50526 106.814896 0 0
1409927160322 214.76762 33.983086 13.361901  91.00159 44.49138 106.815834 0 0
1409927160398 215.04268 34.200314 13.412344  91.222015 44.444714 106.83802 0 0
1409927160443 215.29027 34.44254 13.480703  91.44758 44.404114 106.85031 0 0
1409927160462 214.95378 34.34694 13.397265  91.338715 44.432083 106.79263 0 0
