时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927672421 240.49516 2.5933464 7.9920053  81.096535 46.51974 121.32901 0 0
1409927672522 240.82109 2.1577084 7.9179816  80.93535 46.549374 121.52602 0 0
1409927672584 241.45839 1.2310938 7.7028127  80.52836 46.623123 121.90297 0 0
1409927672585 241.76735 1.0923438 7.739753  80.57785 46.623333 122.019295 0 0
1409927672648 241.89406 0.98046875 7.738893  80.55311 46.631847 122.07162 0 0
1409927672660 241.85005 0.7972396 7.609245  80.382706 46.64818 122.09367 0 0
1409927672722 241.64568 0.8889844 7.574844  80.366104 46.635025 122.018074 0 0
1409927672743 241.25656 1.1150651 7.57388  80.34016 46.63927 121.87417 0 0
1409927672830 241.2475 1.0352604 7.5864325  80.27616 46.661327 121.88599 0 0
1409927672959 241.55682 0.8473047 7.6060286  80.28917 46.66625 122.01216 0 0
1409927673004 242.18985 0.72846353 7.6717186  80.52408 46.626694 122.21424 0 0
1409927673008 242.55438 0.6004948 7.655195  80.58975 46.61401 122.33721 0 0
1409927673025 242.65344 0.5696875 7.684375  80.60993 46.62042 122.37146 0 0
1409927673102 242.76094 0.5318229 7.6808724  80.63257 46.612606 122.407555 0 0
1409927673109 243.13672 0.72691405 7.7782164  81.03845 46.526222 122.48039 0 0
1409927673186 243.20781 0.7219401 7.820117  81.06987 46.525574 122.49633 0 0
1409927673199 243.48656 1.3247787 7.5403905  81.24307 46.40695 122.60779 0 0
1409927673250 243.57854 1.2695963 7.55849  81.243454 46.41185 122.64461 0 0
1409927673263 243.86073 1.3019792 7.613776  81.444534 46.374817 122.71612 0 0
1409927673323 243.9424 1.3583072 7.6749086  81.54384 46.359974 122.73073 0 0
1409927673350 243.5324 1.5189583 7.2490754  81.42172 46.29888 122.600075 0 0
1409927673412 243.36807 1.6127864 7.2115235  81.41091 46.288853 122.53344 0 0
1409927673431 243.17688 1.6277604 7.2202606  81.303024 46.319843 122.47841 0 0
1409927673500 243.21985 1.6665494 7.2315884  81.35451 46.307865 122.491356 0 0
1409927673508 243.36151 1.885651 7.3550262  81.63245 46.265755 122.48448 0 0
1409927673609 243.41693 2.0603516 7.4733853  81.806885 46.243073 122.46792 0 0
1409927673723 243.88042 2.9771094 8.123411  82.88556 46.105183 122.38409 0 0
1409927673831 242.76297 1.9330599 6.823346  81.38799 46.165287 122.2175 0 0
1409927673923 243.33395 1.5036849 6.836328  81.36034 46.187813 122.48336 0 0
1409927673998 243.2513 1.6158464 6.7771225  81.47481 46.1269 122.42763 0 0
1409927674070 242.51807 1.6497396 6.673099  81.08292 46.202343 122.217705 0 0
1409927674075 242.5488 1.8134115 6.7578125  81.2147 46.187996 122.19393 0 0
1409927674152 242.52881 1.7630599 6.7652736  81.16399 46.207447 122.20399 0 0
1409927674256 242.62692 2.1789973 6.89987  81.54569 46.13307 122.14575 0 0
1409927674302 242.61104 2.0645313 6.9342446  81.429375 46.178722 122.17331 0 0
1409927674311 242.75589 2.0522525 6.969974  81.50387 46.170807 122.22008 0 0
1409927674328 242.80553 2.0032942 6.951888  81.49025 46.17229 122.24563 0 0
1409927674512 242.87984 1.9107292 6.940521  81.44721 46.18414 122.282814 0 0
1409927674639 243.50609 1.998112 7.0438933  81.89759 46.087967 122.44354 0 0
1409927674717 241.98839 2.0854948 6.9422007  81.16213 46.229454 121.99042 0 0
1409927674798 241.91989 1.857474 6.8303127  80.934456 46.26612 122.028725 0 0
1409927674868 241.87021 2.1005077 6.9709635  81.11063 46.249218 121.96349 0 0
1409927674959 241.80771 2.0261068 6.941693  81.010635 46.270416 121.960335 0 0
1409927675038 241.83026 1.7732161 6.874961  80.794685 46.31591 122.02143 0 0
1409927675121 242.11823 1.7161328 6.9079947  80.895966 46.301537 122.11896 0 0
1409927675208 242.39995 1.704414 6.936966  81.049934 46.273205 122.19815 0 0
1409927675283 242.69609 1.6149219 6.9688673  81.148506 46.256042 122.3012 0 0
1409927675339 242.77402 1.3744271 6.8536067  80.974945 46.276848 122.36966 0 0
1409927675433 241.44891 1.6623437 6.710638  80.50254 46.34305 121.92599 0 0
1409927675435 241.19708 1.5638672 6.60112  80.230354 46.40367 121.88071 0 0
1409927675497 241.17693 1.478099 6.5650783  80.135895 46.420494 121.89162 0 0
1409927675580 241.29594 1.4760808 6.6054816  80.19148 46.417786 121.93208 0 0
1409927675644 241.02182 0.9826693 6.3177085  79.56022 46.52125 121.95497 0 0
1409927675746 241.00421 0.8737891 6.2672787  79.42514 46.551094 121.96726 0 0
1409927675750 241.18932 0.8989714 6.3114195  79.55677 46.525337 122.01581 0 0
1409927675827 241.31183 0.90203124 6.3314843  79.624245 46.515366 122.05047 0 0
1409927675982 241.5537 0.77382815 6.311458  79.62353 46.514297 122.13943 0 0
1409927676119 240.96135 0.981888 6.2488804  79.53939 46.506824 121.9225 0 0
1409927676247 240.29301 0.776263 6.329219  78.83272 46.692528 121.768776 0 0
1409927676427 240.51146 0.60429686 6.303711  78.78416 46.70531 121.85919 0 0
1409927676525 241.70807 0.6890625 6.970156  79.60545 46.670105 122.24226 0 0
1409927676646 242.19234 0.62098956 7.003789  79.81029 46.62789 122.38432 0 0
1409927676740 242.60927 0.66095054 7.085091  80.1035 46.57211 122.50203 0 0
1409927676828 241.12698 0.7822656 6.89168  79.38482 46.696434 122.05448 0 0
1409927676892 240.96577 0.5848307 6.7635417  79.058395 46.758022 122.052475 0 0
1409927676967 241.1665 0.539375 6.537031  79.06668 46.71112 122.11745 0 0
1409927677070 241.17136 0.5386198 6.541302  79.07932 46.70974 122.1144 0 0
1409927677155 241.2877 0.4748047 6.526693  79.059685 46.70987 122.1563 0 0
1409927677235 241.74942 0.47320312 6.6374087  79.19531 46.688644 122.29719 0 0
1409927677308 242.0936 0.41930988 6.6653123  79.32591 46.665104 122.4038 0 0
1409927677387 242.36922 0.34821615 6.664544  79.40772 46.650288 122.49453 0 0
1409927677502 241.99562 0.42138022 6.5322785  79.31283 46.63013 122.36761 0 0
1409927677624 240.9999 0.39255208 6.243138  78.57647 46.76414 122.11175 0 0
1409927677728 241.30473 0.3288151 6.25862  78.656044 46.75383 122.21523 0 0
