时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409926886897 246.33427 0.0 11.2767315  75.54276 49.28943 124.471924 0 0
1409926886928 246.4063 0.0 11.287383  75.6117 49.275024 124.489975 0 0
1409926886945 246.37828 0.0 11.283307  75.62051 49.270626 124.48034 0 0
1409926886962 246.30855 0.0 11.262214  75.56319 49.27974 124.46099 0 0
1409926887046 246.26328 0.0 11.2020445  75.52145 49.27784 124.44885 0 0
1409926887067 246.43896 0.0 11.296302  75.64053 49.27081 124.495705 0 0
1409926887117 246.47667 0.0 11.322982  75.62848 49.28206 124.508514 0 0
1409926887151 246.65666 0.0 11.382382  75.70412 49.277473 124.55789 0 0
1409926887183 246.7535 0.0 11.395899  75.79837 49.2563 124.58224 0 0
1409926887200 246.9538 0.0 11.528698  75.98325 49.238358 124.63567 0 0
1409926887234 246.99551 0.0 11.527604  76.008125 49.235497 124.64693 0 0
1409926887278 247.32152 0.0 11.597422  76.26728 49.220703 124.74271 0 0
1409926887285 246.39641 0.0 10.926458  75.58723 49.222733 124.48386 0 0
1409926887304 245.9325 0.0 10.659987  75.21366 49.25409 124.358986 0 0
1409926887374 245.68953 0.0 10.532135  74.99873 49.275963 124.29562 0 0
1409926887390 245.39516 0.0 10.510365  74.72581 49.324764 124.220184 0 0
1409926887443 246.38713 0.0 11.3776045  75.46005 49.36185 124.50398 0 0
1409926887453 246.76984 0.0 11.606237  75.758766 49.34724 124.61031 0 0
1409926887555 247.1711 0.0 11.796706  76.0541 49.33323 124.71823 0 0
1409926887583 247.32526 0.0 11.870091  76.12539 49.33732 124.76461 0 0
1409926887588 247.32588 0.0 11.888555  76.13071 49.341198 124.7643 0 0
1409926887604 247.35349 0.0 11.878593  76.16561 49.327785 124.77276 0 0
1409926887639 247.36255 0.0 11.906302  76.179985 49.330105 124.77541 0 0
1409926887683 247.39354 0.0 11.942369  76.16533 49.34818 124.783356 0 0
1409926887695 247.48541 0.0 12.00444  76.22133 49.345158 124.80911 0 0
1409926887705 247.60786 0.0 12.098619  76.30599 49.347733 124.844505 0 0
1409926887746 247.72641 0.0 12.16901  76.42189 49.336433 124.87393 0 0
1409926887772 247.93979 0.0 12.362383  76.58918 49.34315 124.93313 0 0
1409926887790 248.05396 0.0 12.432852  76.701775 49.333984 124.96193 0 0
1409926887806 248.20522 0.0 12.472539  76.84681 49.330887 125.00526 0 0
1409926887824 248.09787 0.0 12.364675  76.785965 49.316147 124.97492 0 0
1409926887892 247.65079 0.0 12.015547  76.444244 49.314922 124.851746 0 0
1409926887934 245.47438 0.0 10.2703905  74.70512 49.310444 124.24982 0 0
1409926887941 245.00641 0.0 10.065729  74.28936 49.33521 124.12498 0 0
1409926887958 245.03885 0.0 10.108424  74.2926 49.349453 124.13625 0 0
1409926887988 245.97037 0.0 10.892864  74.97857 49.37771 124.40711 0 0
1409926888045 246.12068 0.0 11.020222  75.08448 49.384193 124.44849 0 0
1409926888095 246.62646 0.0 11.524362  75.374 49.413124 124.58867 0 0
1409926888132 246.83292 0.0 11.625599  75.50796 49.401875 124.645 0 0
1409926888163 246.81969 0.0 11.614857  75.49384 49.40604 124.64211 0 0
1409926888188 246.81291 0.0 11.604766  75.49293 49.40341 124.63677 0 0
