时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927924279 215.84193 29.283308 8.163073  87.10206 44.963257 105.861534 0 0
1409927924350 215.97209 29.355286 8.137487  87.17075 44.93643 105.87675 0 0
1409927924371 216.05344 29.538086 8.123346  87.28475 44.897655 105.85989 0 0
1409927924379 216.31741 29.719114 8.242618  87.46381 44.881744 105.87682 0 0
1409927924466 216.46599 29.8053 8.310078  87.55703 44.875416 105.891014 0 0
1409927924486 217.21152 30.405182 8.561146  88.092 44.795834 105.93263 0 0
1409927924522 217.3688 30.46651 8.643034  88.17354 44.794247 105.953804 0 0
1409927924530 217.8191 30.690586 8.837865  88.450935 44.77682 106.013725 0 0
1409927924547 217.97803 30.730118 8.924623  88.52228 44.780964 106.04028 0 0
1409927924584 217.99385 30.682552 8.93375  88.50215 44.788048 106.0531 0 0
1409927924606 217.69965 30.51263 8.870338  88.32621 44.820545 106.02023 0 0
1409927924616 216.84108 30.073868 8.719922  87.84753 44.912083 105.91445 0 0
1409927924631 215.66202 29.418438 8.599609  87.1713 45.065365 105.78162 0 0
1409927924688 214.56331 28.730938 8.4522915  86.50494 45.215572 105.67261 0 0
1409927924699 213.12793 27.726225 8.434492  85.620834 45.49005 105.54424 0 0
1409927924717 212.81093 27.448294 8.427539  85.38983 45.55052 105.52839 0 0
1409927924756 212.93683 27.445728 8.301172  85.41729 45.51672 105.56 0 0
1409927924787 215.45778 29.194727 8.535143  87.00335 45.12862 105.772705 0 0
1409927924877 215.64754 29.28039 8.516823  87.09821 45.093384 105.79966 0 0
1409927924925 215.74445 29.436445 8.789765  87.21888 45.097683 105.78672 0 0
1409927924937 215.5144 29.318815 8.76905  87.09441 45.128334 105.75919 0 0
1409927924952 215.5135 29.309076 8.793854  87.09124 45.135338 105.75914 0 0
1409927924994 215.59906 29.34388 8.797852  87.12822 45.12349 105.7732 0 0
1409927925009 215.78563 29.419231 8.862005  87.22586 45.112526 105.79776 0 0
1409927925025 215.78561 29.33181 8.800963  87.176315 45.11901 105.81438 0 0
1409927925037 215.97572 29.370169 8.860625  87.254906 45.108543 105.84727 0 0
1409927925062 216.29176 29.536028 8.878711  87.42633 45.069115 105.88638 0 0
1409927925102 216.40257 29.591015 8.888425  87.48684 45.05078 105.899635 0 0
1409927925122 216.72882 29.745052 8.922122  87.65627 45.013332 105.94148 0 0
1409927925138 216.86702 29.84888 8.933359  87.75069 44.99159 105.95187 0 0
1409927925190 216.9719 29.88974 8.9514065  87.80264 44.97987 105.967476 0 0
1409927925206 217.11992 29.979387 8.915625  87.8862 44.94711 105.98388 0 0
1409927925223 216.72937 29.794806 8.848177  87.67794 44.98633 105.93409 0 0
1409927925292 215.74907 29.337734 8.673294  87.15867 45.08357 105.809685 0 0
1409927925350 213.13567 27.880444 8.375599  85.675415 45.421043 105.52482 0 0
1409927925358 213.09863 27.722786 8.181484  85.57446 45.414402 105.55284 0 0
1409927925375 215.75783 28.969791 8.884597  86.99941 45.21065 105.87203 0 0
1409927925415 215.91313 29.013842 8.961302  87.07193 45.211876 105.89748 0 0
1409927925427 216.05669 29.041458 8.9611845  87.12631 45.196693 105.92248 0 0
1409927925442 216.35658 29.17875 9.04694  87.29194 45.172813 105.95891 0 0
1409927925462 216.71443 29.367865 9.079166  87.48548 45.12414 106.00437 0 0
1409927925543 216.88023 29.460703 9.134258  87.585915 45.10781 106.021614 0 0
1409927925611 216.59947 29.33004 9.107864  87.43597 45.139896 105.98484 0 0
1409927925645 216.91022 29.459557 9.1564455  87.59629 45.113125 106.02703 0 0
1409927925722 217.12265 29.605377 9.19  87.73051 45.08495 106.04763 0 0
1409927925731 217.3393 29.65461 9.225821  87.82051 45.068542 106.08271 0 0
1409927925772 217.4292 29.701536 9.227825  87.872475 45.059193 106.09364 0 0
1409927925786 217.57228 29.801067 9.223437  87.96167 45.033592 106.10664 0 0
1409927925797 217.70007 29.862995 9.220104  88.02608 45.013462 106.12526 0 0
1409927925813 217.67899 29.845964 9.209792  88.00906 45.01406 106.12338 0 0
1409927925862 217.4015 29.745703 9.256914  87.88598 45.060444 106.07912 0 0
1409927925866 216.61188 29.368593 9.119622  87.46133 45.139687 105.97807 0 0
1409927925881 215.62775 28.824675 8.999908  86.90098 45.264843 105.86526 0 0
1409927925898 214.69128 28.30841 8.511472  86.35711 45.31979 105.76909 0 0
1409927925962 214.29468 28.017735 8.481953  86.10294 45.38857 105.74047 0 0
1409927925965 214.24365 27.876368 8.465781  86.01422 45.410416 105.757706 0 0
1409927926014 214.36024 27.92651 8.760716  86.08439 45.436092 105.769684 0 0
1409927926041 214.92891 28.16056 8.809336  86.36064 45.368908 105.84651 0 0
1409927926050 215.23265 28.29987 8.8355465  86.51551 45.333176 105.88539 0 0
1409927926144 215.36589 28.34207 8.80586  86.571495 45.311092 105.90623 0 0
1409927926152 215.16397 28.308802 8.812799  86.49358 45.328983 105.86971 0 0
1409927926188 215.04875 28.258503 8.78319  86.43277 45.334507 105.85685 0 0
1409927926203 215.11766 28.273268 8.779062  86.45917 45.32336 105.868805 0 0
1409927926262 215.19366 28.32246 8.798282  86.50568 45.316746 105.87489 0 0
1409927926270 215.48172 28.446224 8.853151  86.65456 45.29469 105.91112 0 0
1409927926304 215.67316 28.542826 8.852044  86.75449 45.26182 105.93503 0 0
1409927926359 215.923 28.66392 8.896211  86.88777 45.237995 105.96461 0 0
1409927926371 216.10385 28.746223 8.874323  86.97948 45.21078 105.988174 0 0
1409927926388 216.3382 28.872019 8.9281645  87.10643 45.185 106.01458 0 0
1409927926431 216.42474 28.920052 8.91892  87.15452 45.16849 106.02412 0 0
1409927926458 216.83147 29.225924 9.004531  87.43457 45.11263 106.05679 0 0
1409927926473 216.2815 29.001537 8.908867  87.1553 45.16638 105.980705 0 0
1409927926551 215.18437 28.491615 8.72  86.578674 45.27143 105.84375 0 0
1409927926561 213.20612 27.34862 8.451133  85.43892 45.52396 105.63904 0 0
1409927926596 213.18733 27.285599 8.710794  85.427185 45.578777 105.6395 0 0
1409927926608 215.84637 28.51069 9.338971  86.83186 45.362316 105.96451 0 0
1409927926624 216.05779 28.600794 9.395261  86.94288 45.346825 105.99169 0 0
1409927926659 216.3603 28.774805 9.456992  87.11396 45.308594 106.02552 0 0
1409927926676 217.19548 29.208124 9.25099  87.57133 45.185364 106.12859 0 0
1409927926712 217.42618 29.329973 9.256237  87.69574 45.153465 106.15774 0 0
1409927926752 217.56316 29.428125 9.256185  87.78199 45.12099 106.16992 0 0
1409927926760 217.39552 29.36685 9.1909895  87.69701 45.125572 106.14719 0 0
1409927926796 217.29572 29.336199 9.211901  87.65903 45.14677 106.12857 0 0
1409927926837 217.30011 29.372278 9.18125  87.675934 45.131042 106.12445 0 0
1409927926871 217.25682 29.325012 9.161419  87.63805 45.139557 106.12388 0 0
1409927926913 217.39046 29.411575 9.170885  87.72033 45.11914 106.138176 0 0
1409927926946 217.82584 29.691158 9.234283  87.99258 45.05896 106.18029 0 0
1409927927031 217.95404 29.743086 9.248086  88.05679 45.045574 106.198074 0 0
1409927927074 218.51797 30.148022 9.555026  88.44706 44.995625 106.243805 0 0
1409927927083 218.41829 30.13806 9.504375  88.40461 44.98961 106.22776 0 0
1409927927101 217.70549 29.814491 9.371614  88.02293 45.05792 106.13255 0 0
1409927927117 216.61905 29.26362 9.235821  87.42549 45.187553 105.998024 0 0
1409927927211 215.86874 28.80151 9.124544  86.97324 45.286198 105.92 0 0
1409927927237 216.05618 28.781185 9.167292  87.02174 45.292786 105.96711 0 0
1409927927265 216.60416 29.059948 9.268073  87.32273 45.23539 106.03359 0 0
1409927927283 216.90405 29.224426 9.303737  87.49371 45.195545 106.068695 0 0
1409927927359 217.24658 29.420443 9.359766  87.70146 45.156326 106.10661 0 0
1409927927370 217.40428 29.615938 9.383268  87.84301 45.11953 106.10359 0 0
1409927927411 217.30952 29.57409 9.322461  87.79004 45.12172 106.09213 0 0
1409927927418 216.90515 29.384153 9.342149  87.577126 45.16995 106.03927 0 0
1409927927434 216.87816 29.347708 9.375221  87.55426 45.183723 106.03932 0 0
1409927927514 216.85622 29.367004 9.33043  87.55375 45.173153 106.0318 0 0
1409927927564 217.36374 29.654804 9.363763  87.84506 45.097996 106.09052 0 0
1409927927570 217.62129 29.796913 9.4280205  87.99828 45.07435 106.118904 0 0
1409927927604 217.78693 29.922956 9.464479  88.114586 45.049583 106.13146 0 0
1409927927664 217.52155 29.788685 9.163112  87.939804 45.037735 106.10031 0 0
1409927927671 217.71817 29.944244 9.161458  88.07763 44.99427 106.11289 0 0
1409927927687 217.35353 29.819363 9.132904  87.90933 45.03216 106.058044 0 0
1409927927723 216.44212 29.40461 9.002161  87.432686 45.133488 105.938644 0 0
1409927927739 215.5011 28.925053 8.865104  86.91285 45.236694 105.82464 0 0
1409927927755 215.72661 28.953619 9.000573  87.010284 45.25948 105.86508 0 0
1409927927821 215.49002 28.729322 8.959622  86.824844 45.30052 105.855446 0 0
1409927927843 216.00056 28.919401 9.046836  87.07512 45.259453 105.93104 0 0
1409927927894 216.25928 29.034609 9.103177  87.20738 45.235313 105.965965 0 0
1409927927909 216.86974 29.372969 9.220052  87.56598 45.169296 106.032814 0 0
1409927927943 216.98593 29.452461 9.214049  87.63462 45.14466 106.045105 0 0
1409927928032 216.89064 29.457083 9.172188  87.60957 45.143932 106.02443 0 0
1409927928103 216.76625 29.420326 9.150559  87.55185 45.149635 106.00487 0 0
1409927928142 217.17087 29.649323 9.192943  87.78621 45.09513 106.05089 0 0
1409927928250 217.45164 29.841824 9.185052  87.96202 45.04776 106.07864 0 0
1409927928305 217.8152 30.097708 9.234089  88.18422 44.982265 106.11433 0 0
1409927928407 215.83751 29.183332 8.9479685  87.1407 45.199844 105.8549 0 0
1409927928461 214.6193 28.310652 8.798568  86.35414 45.379818 105.75055 0 0
1409927928534 215.16576 28.53457 8.85681  86.6187 45.320313 105.82544 0 0
1409927928600 216.0241 29.039545 8.946133  87.122604 45.208073 105.91828 0 0
1409927928730 215.83725 29.006264 8.882865  87.04684 45.208645 105.88763 0 0
1409927928794 216.57628 29.406223 8.980508  87.46529 45.11888 105.9724 0 0
1409927928836 217.1162 29.747057 9.020039  87.79124 45.03427 106.02854 0 0
1409927928947 217.44798 29.960104 9.031185  87.99694 44.984272 106.059326 0 0
1409927929006 214.40958 28.372513 8.708568  86.30715 45.34888 105.69849 0 0
1409927929063 213.74734 27.8644 8.5264845  85.86212 45.443176 105.65594 0 0
1409927929185 214.43074 28.169544 8.887071  86.22573 45.41232 105.73878 0 0
1409927929209 215.33722 28.66875 8.903763  86.73318 45.286224 105.84029 0 0
1409927929308 215.2642 28.65103 8.878047  86.70151 45.289715 105.82797 0 0
1409927929372 215.61055 28.779388 8.904089  86.8631 45.24888 105.87883 0 0
1409927929449 216.20241 29.114765 9.030078  87.21553 45.19065 105.9431 0 0
1409927929501 216.88356 29.54466 9.087474  87.623436 45.08742 106.01409 0 0
1409927929620 217.14008 29.764532 9.111614  87.805466 45.041405 106.03003 0 0
1409927929654 213.75757 28.044062 8.6052475  85.95344 45.42237 105.620705 0 0
1409927929773 213.405 27.706041 8.671276  85.6913 45.50789 105.60945 0 0
1409927929822 217.4151 29.670612 9.0278  87.864105 45.065105 106.102425 0 0
1409927929922 217.04213 29.475378 8.924779  87.64566 45.094532 106.059586 0 0
1409927929972 216.45789 29.07608 9.264114  87.29094 45.225624 105.9982 0 0
1409927930089 216.90575 29.287188 9.356107  87.53077 45.183517 106.05513 0 0
1409927930130 217.46783 29.664688 9.394024  87.88807 45.09565 106.10797 0 0
