时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927033655 243.91562 0.0020963543 7.1858463  78.56012 47.11263 123.37531 0 0
1409927033683 244.22224 0.0011848959 7.3445573  78.88319 47.058907 123.44961 0 0
1409927033697 244.09692 0.0010026041 7.296771  78.80436 47.068462 123.40888 0 0
1409927033756 243.77792 7.03125E-4 7.1855597  78.61109 47.0887 123.321976 0 0
1409927033864 243.00688 0.0 6.9640627  77.94859 47.208828 123.13281 0 0
1409927033873 242.8726 0.0 6.948073  77.63445 47.294662 123.1169 0 0
1409927033964 243.0178 5.598958E-4 7.0133204  77.76117 47.276043 123.155205 0 0
1409927033993 243.36598 0.0015755208 7.0889583  78.07439 47.21328 123.237946 0 0
1409927034076 243.31068 0.0014583333 7.0229034  78.063675 47.19315 123.21794 0 0
1409927034133 243.25958 2.4739583E-4 7.051393  77.96333 47.230183 123.21224 0 0
1409927034209 243.43042 4.0364583E-4 7.0785027  78.03217 47.221535 123.26289 0 0
1409927034256 243.71053 0.0014322917 7.1410418  78.246826 47.185078 123.33466 0 0
1409927034363 243.8226 0.0015755208 7.160703  78.32953 47.165783 123.364815 0 0
1409927034406 242.56474 0.0 6.784219  77.23542 47.35789 123.03531 0 0
1409927034486 242.11697 0.0 6.6764846  76.6653 47.484974 122.938126 0 0
1409927034525 243.5038 0.0 7.38194  77.65846 47.422005 123.35326 0 0
1409927034633 243.90256 0.0 7.414128  77.91099 47.388332 123.47083 0 0
1409927034679 244.16599 0.0 7.51043  78.0985 47.37698 123.55167 0 0
1409927034755 244.18411 0.0 7.519414  78.12125 47.37396 123.56237 0 0
1409927034790 244.32391 0.0 7.65806  78.201996 47.37268 123.59854 0 0
1409927034818 244.3611 0.0 7.659453  78.21449 47.375053 123.60633 0 0
1409927034899 244.45734 0.0 7.6617446  78.290596 47.35276 123.63021 0 0
1409927034922 244.51938 0.0 7.678854  78.3207 47.351902 123.64695 0 0
1409927035012 244.30667 0.0 7.5839972  78.18306 47.356354 123.587654 0 0
1409927035048 242.92485 0.0 7.09388  76.940155 47.55685 123.23211 0 0
1409927035090 243.04318 0.0 7.1534634  77.00046 47.56073 123.2682 0 0
1409927035126 243.24786 0.0 7.218112  77.1468 47.542316 123.324196 0 0
1409927035200 243.33376 0.0 7.242383  77.198395 47.53055 123.34484 0 0
1409927035240 243.59412 0.0 7.303737  77.46833 47.47927 123.4099 0 0
1409927035346 243.52318 0.0 7.24987  77.38423 47.48651 123.390884 0 0
1409927035401 243.74614 0.0 7.3702993  77.51165 47.484947 123.45409 0 0
1409927035465 244.02417 0.0 7.3913283  77.7863 47.41815 123.52169 0 0
1409927035508 244.18292 0.0 7.4327474  77.9698 47.381954 123.55685 0 0
1409927035596 244.32588 0.0 7.4559636  78.09568 47.36039 123.59622 0 0
1409927035663 243.36578 0.0 7.0737762  77.37189 47.443645 123.33479 0 0
1409927035690 242.90979 0.0 7.0565233  76.87684 47.573517 123.23604 0 0
1409927035748 243.05635 0.0 7.1248307  76.9691 47.568905 123.27786 0 0
1409927035811 243.2888 0.0 7.222344  77.15435 47.548412 123.33732 0 0
1409927035855 243.54677 0.0 7.2329426  77.366394 47.49521 123.401535 0 0
1409927035915 243.53865 0.0 7.22681  77.35628 47.493176 123.39789 0 0
1409927035954 243.57687 0.0 7.2628255  77.37979 47.495884 123.40898 0 0
1409927036071 243.63474 0.0 7.2683463  77.43118 47.48341 123.423515 0 0
1409927036088 244.08015 0.0 7.3892317  77.88119 47.39914 123.53438 0 0
1409927036180 244.23312 0.0 7.4483852  77.99944 47.3838 123.57711 0 0
1409927036205 244.39854 0.0 7.4645314  78.15201 47.340702 123.612816 0 0
1409927036251 244.4553 0.0 7.4709764  78.196236 47.33005 123.62701 0 0
1409927036292 244.52266 0.0 7.4653516  78.26608 47.31086 123.64107 0 0
1409927036410 244.11484 0.0 7.2653255  77.99239 47.32573 123.52646 0 0
1409927036433 242.96281 0.0 6.9860806  76.80646 47.56203 123.24258 0 0
1409927036502 243.12979 0.0 7.1485677  76.85934 47.580338 123.28495 0 0
1409927036526 243.64891 0.0 7.3379817  77.2022 47.552734 123.430466 0 0
1409927036606 243.68896 0.0 7.2851954  77.23988 47.52763 123.4394 0 0
1409927036650 243.50693 0.0 7.227513  77.09711 47.554455 123.38581 0 0
1409927036742 243.59573 0.0 7.260521  77.20897 47.53008 123.40982 0 0
1409927036804 243.9061 0.0 7.3971095  77.30906 47.539192 123.50057 0 0
1409927036835 244.145 0.0 7.4426694  77.46882 47.516354 123.56492 0 0
1409927036917 244.23016 0.0 7.438815  77.534256 47.487606 123.58823 0 0
1409927036964 244.2724 0.0 7.430013  77.63676 47.459843 123.58995 0 0
1409927037043 243.1625 0.0 7.02375  76.91049 47.539764 123.28677 0 0
1409927037080 243.00479 0.0 7.110286  76.62379 47.649113 123.26482 0 0
1409927037170 243.1713 0.0 7.147552  76.70808 47.639038 123.309425 0 0
1409927037222 243.35506 0.0 7.256888  76.887695 47.601563 123.36083 0 0
1409927037297 243.20891 0.0 7.1784377  76.82619 47.593906 123.313515 0 0
1409927037347 243.18109 0.0 7.1588674  76.76885 47.60466 123.3076 0 0
1409927037440 243.4902 0.0 7.1006513  77.00159 47.549297 123.395966 0 0
1409927037465 243.83313 0.0 7.235586  77.303085 47.50737 123.48458 0 0
1409927037571 243.9387 0.0 7.2677865  77.386566 47.4925 123.51177 0 0
1409927037584 243.63448 0.0 7.1392837  77.32278 47.46604 123.41471 0 0
1409927037675 243.17807 0.0 6.9721093  76.97348 47.514114 123.29164 0 0
1409927037748 242.35683 0.0 6.8865886  76.22303 47.6888 123.08862 0 0
1409927037838 243.30536 0.0 7.391901  76.842445 47.673332 123.35823 0 0
1409927037849 243.60072 0.0 7.4107943  77.15432 47.59341 123.429115 0 0
1409927037962 243.53 0.0 7.3997135  77.11242 47.60104 123.40982 0 0
1409927037998 243.47244 0.0 7.3165236  77.054886 47.593853 123.39013 0 0
1409927038061 243.6537 0.0 7.349414  77.17987 47.56729 123.43995 0 0
1409927038147 243.91385 0.0 7.4444013  77.39534 47.534454 123.50508 0 0
1409927038179 244.17438 0.0 7.4570704  77.63696 47.47737 123.5718 0 0
1409927038243 244.17813 0.0 7.4157944  77.67519 47.447525 123.56773 0 0
1409927038287 243.08745 0.0 7.1041927  76.9066 47.568672 123.26784 0 0
1409927038356 242.54854 0.0 7.0180597  76.32728 47.699635 123.14086 0 0
1409927038395 244.05464 0.0 7.909479  77.408 47.65646 123.57388 0 0
1409927038442 244.36708 0.0 8.003425  77.63457 47.62594 123.65951 0 0
1409927038496 244.60104 0.0 7.7877603  77.8914 47.531094 123.721924 0 0
1409927038530 244.479 0.0 7.7403517  77.914764 47.50565 123.6863 0 0
1409927038615 244.40906 0.0 7.7025  77.844376 47.518673 123.66612 0 0
1409927038649 244.50833 0.0 7.7310414  77.85458 47.51677 123.69703 0 0
1409927038713 244.69505 0.0 7.806068  77.97655 47.507915 123.74539 0 0
1409927038771 244.94406 0.0 7.877513  78.18175 47.477108 123.81068 0 0
1409927038832 245.14203 0.0 7.9413023  78.39064 47.439663 123.85851 0 0
1409927038870 244.21687 0.0 7.548568  77.778786 47.48633 123.601616 0 0
1409927038974 243.59209 0.0 7.3628387  77.21362 47.592186 123.440186 0 0
1409927039010 244.05713 0.0 7.6452084  77.45211 47.592083 123.57414 0 0
1409927039052 244.3777 0.0 7.7683854  77.69489 47.568283 123.65854 0 0
1409927039088 244.50151 0.0 7.758099  77.827866 47.523514 123.688774 0 0
1409927039137 244.43985 0.0 7.65612  77.8263 47.513283 123.6725 0 0
1409927039214 244.3027 0.0 7.614297  77.7488 47.522007 123.63388 0 0
1409927039294 244.44646 0.0 7.661393  77.84668 47.51508 123.673225 0 0
1409927039335 244.79588 0.0 7.7678514  78.14009 47.46784 123.761566 0 0
1409927039402 244.9574 0.0 7.820247  78.31248 47.431614 123.80151 0 0
1409927039470 244.33333 0.0 7.4945574  78.00746 47.419426 123.62203 0 0
1409927039538 243.43515 0.0 7.304219  77.17221 47.593853 123.39539 0 0
1409927039574 243.49463 0.0 7.4570966  77.086044 47.62255 123.410416 0 0
1409927039672 243.82552 0.0 7.553932  77.29379 47.59982 123.502655 0 0
1409927039694 244.12224 0.0 7.617305  77.562225 47.542473 123.57479 0 0
1409927039773 244.07469 0.0 7.613242  77.533356 47.548126 123.56177 0 0
1409927039813 244.13011 0.0 7.638711  77.54059 47.551903 123.576744 0 0
1409927039873 244.22844 0.0 7.666133  77.61556 47.54331 123.60354 0 0
1409927039907 244.62791 0.0 7.816914  77.93543 47.500755 123.709114 0 0
1409927040022 244.6998 0.0 7.7646747  77.99818 47.477604 123.73502 0 0
1409927040068 243.85661 0.0 7.418151  77.48585 47.513412 123.49768 0 0
1409927040137 243.42291 0.0 7.3573437  77.167786 47.586483 123.38979 0 0
1409927040196 243.53943 0.0 7.5141144  77.05484 47.66396 123.44125 0 0
1409927040252 243.9339 0.0 7.655651  77.34039 47.624924 123.54612 0 0
1409927040277 244.10922 0.0 7.664323  77.54841 47.57013 123.58807 0 0
1409927040333 243.98625 0.0 7.6271353  77.49746 47.569347 123.54857 0 0
1409927040419 243.85765 0.0 7.5764713  77.370445 47.587265 123.51695 0 0
1409927040502 244.26407 0.0 7.660703  77.66036 47.54013 123.62476 0 0
1409927040547 244.57683 0.0 7.808581  77.98599 47.490574 123.70128 0 0
1409927040569 244.70824 0.0 7.812682  78.07602 47.467995 123.734634 0 0
1409927040623 244.7225 0.0 7.793138  78.08352 47.45776 123.73883 0 0
1409927040723 244.20177 0.0 7.5557942  77.74165 47.4837 123.5937 0 0
1409927040773 243.04256 0.0 7.258294  76.68061 47.674713 123.28638 0 0
1409927040838 243.37042 0.0 7.54168  76.94467 47.662994 123.3769 0 0
1409927040900 243.8816 0.0 7.503086  77.31165 47.590702 123.51469 0 0
1409927040947 243.86917 0.0 7.447708  77.29697 47.57849 123.51067 0 0
1409927041020 243.82896 0.0 7.4484115  77.26491 47.58729 123.49724 0 0
1409927041079 244.08261 0.0 7.477721  77.447685 47.54849 123.56539 0 0
1409927041160 244.27771 0.0 7.5765624  77.614815 47.52518 123.61435 0 0
1409927041225 244.73718 0.0 7.7883205  78.04996 47.47638 123.74302 0 0
1409927041319 244.32193 0.0 7.628125  77.77901 47.49953 123.6268 0 0
1409927041353 243.09146 0.0 7.169271  76.730934 47.660755 123.308304 0 0
1409927041413 243.22469 0.0 7.2192187  76.76964 47.66901 123.34768 0 0
1409927041561 243.5587 0.0 7.361276  77.015 47.645233 123.440834 0 0
1409927041655 243.74474 0.0 7.4053516  77.21323 47.600704 123.48115 0 0
1409927041679 243.98438 0.0 7.471237  77.40022 47.569454 123.544685 0 0
1409927041766 244.1625 0.0 7.521172  77.52203 47.551014 123.59078 0 0
1409927041805 244.4511 0.0 7.587331  77.75979 47.501354 123.66677 0 0
1409927041850 244.42213 0.0 7.5927863  77.75208 47.49797 123.659454 0 0
1409927041967 243.56265 0.0 7.2538543  77.18055 47.55396 123.42271 0 0
1409927042009 242.68584 0.0 7.2785025  76.33797 47.753204 123.19622 0 0
1409927042060 242.99698 0.0 7.3695965  76.54063 47.72474 123.2818 0 0
1409927042139 243.36703 0.0 7.5141015  76.839584 47.686848 123.37653 0 0
1409927042217 243.48761 0.0 7.402487  76.98137 47.639374 123.40765 0 0
1409927042272 243.6361 0.0 7.415039  77.07527 47.617554 123.45086 0 0
1409927042320 243.82843 0.0 7.448034  77.221535 47.59083 123.50039 0 0
1409927042380 244.05136 0.0 7.548138  77.40767 47.567944 123.55531 0 0
1409927042410 244.19333 0.0 7.580638  77.54308 47.543125 123.59237 0 0
1409927042481 244.205 0.0 7.573203  77.5765 47.5275 123.59307 0 0
1409927042555 243.04547 0.0 7.1972394  76.7415 47.640495 123.28096 0 0
1409927042573 242.62135 0.0 7.348255  76.28182 47.788933 123.180595 0 0
1409927042663 243.6876 0.0 7.9634247  77.09229 47.74906 123.49239 0 0
1409927042718 244.18994 0.0 7.7498436  77.46794 47.63578 123.62964 0 0
1409927042745 244.21245 0.0 7.733151  77.48745 47.628517 123.63508 0 0
1409927042836 244.16011 0.0 7.7458334  77.46624 47.63836 123.61953 0 0
1409927042862 244.30734 0.0 7.776315  77.59285 47.60922 123.65643 0 0
1409927042967 244.39723 0.0 7.7878385  77.6721 47.590496 123.67932 0 0
1409927043007 244.83443 0.0 7.9265103  78.03783 47.545597 123.80065 0 0
1409927043164 244.9127 0.0 7.956888  78.11706 47.537266 123.82078 0 0
1409927043237 243.24016 0.0 7.536445  76.773895 47.73711 123.37445 0 0
1409927043254 243.70522 0.0 7.7193227  77.073296 47.71263 123.50242 0 0
1409927043334 243.86954 0.0 7.7579556  77.200874 47.690598 123.54349 0 0
1409927043408 244.0849 0.0 7.790768  77.41582 47.63518 123.59972 0 0
1409927043503 243.96275 0.0 7.7202992  77.35589 47.63422 123.562836 0 0
1409927043546 244.27464 0.0 7.830091  77.5766 47.607162 123.64586 0 0
1409927043632 244.4638 0.0 7.8948827  77.70674 47.589973 123.69935 0 0
1409927043684 244.8073 0.0 8.029766  78.0391 47.545105 123.78696 0 0
1409927043770 244.88277 0.0 8.065495  78.10842 47.54203 123.80646 0 0
1409927043834 243.48172 0.0 7.569427  77.058205 47.679455 123.4319 0 0
1409927043918 243.45547 0.0 7.6366925  76.91364 47.727318 123.433464 0 0
1409927043992 243.94438 0.0 7.780755  77.25175 47.68297 123.565315 0 0
1409927044100 244.13588 0.0 7.839792  77.45452 47.646145 123.61159 0 0
1409927044131 244.08333 0.0 7.8440886  77.39846 47.665 123.59672 0 0
1409927044229 244.28224 0.0 7.906654  77.55448 47.63521 123.65276 0 0
1409927044328 244.76308 0.0 7.9828644  77.94463 47.57797 123.78245 0 0
1409927044381 244.52432 0.0 7.853997  77.83151 47.570026 123.71354 0 0
1409927044495 243.43745 0.0 7.540456  76.94778 47.714375 123.429535 0 0
1409927044584 243.70703 0.0 7.732539  77.0772 47.725468 123.50328 0 0
1409927044610 244.04204 0.0 7.7685027  77.31895 47.673595 123.59138 0 0
1409927044753 243.99562 0.0 7.734518  77.27646 47.678047 123.57739 0 0
1409927044788 244.229 0.0 7.7872133  77.45219 47.644455 123.64018 0 0
1409927044826 244.32433 0.0 7.803607  77.528114 47.630962 123.663414 0 0
1409927044939 244.46156 0.0 7.864961  77.66517 47.60815 123.69758 0 0
1409927044980 244.04958 0.0 7.7313933  77.428734 47.634712 123.588356 0 0
1409927045023 243.61812 0.0 7.623763  77.08192 47.696796 123.47362 0 0
1409927045125 243.21454 0.0 7.6015887  76.666 47.79539 123.37685 0 0
1409927045175 243.7252 0.0 7.7966666  77.049515 47.746197 123.515755 0 0
1409927045283 243.97261 0.0 7.847708  77.25225 47.705494 123.58125 0 0
1409927045332 243.9402 0.0 7.856198  77.26614 47.703854 123.5681 0 0
1409927045427 244.09442 0.0 7.897513  77.35672 47.690548 123.61052 0 0
1409927045483 244.50261 0.0 8.038724  77.70163 47.65099 123.7205 0 0
1409927045597 244.62817 0.0 8.062799  77.80946 47.629948 123.75284 0 0
1409927045635 244.10968 0.0 7.860729  77.48874 47.65495 123.60742 0 0
1409927045731 243.4047 0.0 7.6290884  76.881966 47.757553 123.42713 0 0
1409927045794 243.57193 0.0 7.852904  76.88274 47.782864 123.46899 0 0
1409927045883 243.97136 0.0 7.929297  77.1987 47.72487 123.57232 0 0
1409927046001 243.8677 0.0 7.8754425  77.168655 47.717655 123.539375 0 0
1409927046019 244.16844 0.0 7.980104  77.38261 47.68771 123.62036 0 0
1409927046103 244.2649 0.0 8.005221  77.44638 47.683254 123.64781 0 0
1409927046129 244.58224 0.0 8.088867  77.719154 47.627083 123.72875 0 0
1409927046234 244.74525 0.0 8.03517  77.908 47.594738 123.781586 0 0
1409927046285 244.17885 0.0 7.813854  77.553024 47.62349 123.62745 0 0
1409927046373 243.32813 0.0 7.5952864  76.78366 47.769375 123.41016 0 0
1409927046495 243.699 0.0 7.8209634  76.998825 47.757813 123.50667 0 0
1409927046518 244.05318 0.0 7.929453  77.27482 47.717655 123.60141 0 0
1409927046629 243.92157 0.0 7.872266  77.18815 47.7244 123.56252 0 0
1409927046744 244.20703 0.0 7.913034  77.40741 47.678436 123.63852 0 0
