时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927028855 241.30844 0.3833203 6.6872005  78.72461 46.869167 122.241585 0 0
1409927028870 241.41516 0.35183594 6.747943  78.73801 46.88026 122.278336 0 0
1409927028887 241.69188 0.4347396 6.88306  79.01749 46.849167 122.349945 0 0
1409927028947 242.05162 0.6508203 7.0752864  79.50451 46.76466 122.41331 0 0
1409927028955 242.24182 0.8861849 7.1572394  79.9925 46.655365 122.4124 0 0
1409927028974 242.20891 1.0044401 7.1792316  80.10744 46.62208 122.37828 0 0
1409927029051 242.13646 1.0663933 7.18487  80.124596 46.610912 122.340675 0 0
1409927029058 241.97119 1.0195572 7.1547527  79.9843 46.64492 122.29938 0 0
1409927029074 241.93839 0.99800783 7.1403255  79.940674 46.651405 122.29125 0 0
1409927029103 241.86333 0.88466144 7.042578  79.78455 46.670597 122.29177 0 0
1409927029146 241.86563 0.85290366 7.066315  79.74031 46.68854 122.29627 0 0
1409927029160 241.85167 0.7373958 6.9636326  79.60812 46.7062 122.31484 0 0
1409927029205 241.87964 0.66808593 6.948138  79.54516 46.71406 122.33445 0 0
1409927029208 241.96219 0.47917968 6.9358463  79.37211 46.76862 122.4001 0 0
1409927029227 241.97041 0.35554686 6.952461  79.214584 46.812397 122.42513 0 0
1409927029282 241.95714 0.27217448 6.9568357  79.0913 46.851017 122.43859 0 0
1409927029293 241.96938 0.15523438 6.8947396  78.92165 46.885 122.46586 0 0
1409927029313 242.04135 0.1613151 6.918086  78.98902 46.87117 122.488174 0 0
1409927029399 242.03943 0.2090625 6.89444  79.069595 46.84448 122.47216 0 0
1409927029428 241.04906 0.38514322 6.7183986  78.730835 46.876457 122.15039 0 0
1409927029451 240.8174 0.20416667 6.6952343  78.29822 46.989765 122.13185 0 0
1409927029460 240.78574 0.13682292 6.7278514  78.16453 47.034584 122.145706 0 0
1409927029478 240.92865 0.14255208 6.690521  78.19651 47.022396 122.19135 0 0
1409927029531 241.0261 0.11315104 6.702083  78.19784 47.02245 122.232346 0 0
1409927029583 242.2814 0.12341146 6.993112  78.87483 46.92195 122.646225 0 0
1409927029633 242.74713 0.14019531 7.124909  79.12848 46.898335 122.7813 0 0
1409927029656 242.71208 0.061966147 7.036393  78.884636 46.945835 122.79969 0 0
1409927029667 242.62 0.0171875 6.980495  78.559845 47.028595 122.80727 0 0
1409927029723 242.56354 0.00125 6.989792  78.3169 47.100132 122.81677 0 0
1409927029731 242.84938 0.0018098959 7.0252995  78.54085 47.05534 122.89685 0 0
1409927029780 242.91719 0.0035416668 7.032604  78.64346 47.02682 122.90596 0 0
1409927029784 242.9598 0.003984375 7.0384245  78.672264 47.016277 122.91768 0 0
1409927029799 242.9864 0.0016796875 7.0120573  78.649765 47.019714 122.92805 0 0
1409927029816 243.0415 8.0729165E-4 7.013099  78.66288 47.015312 122.943306 0 0
1409927029840 243.0863 0.0023307293 6.9863935  78.70504 46.998333 122.952 0 0
1409927029871 243.13152 0.0036328125 6.974544  78.7593 46.97904 122.95992 0 0
1409927029886 243.17609 0.0013671875 6.9991274  78.77625 46.98263 122.968254 0 0
1409927029900 243.22682 0.003203125 6.932591  78.804665 46.955418 122.982994 0 0
1409927029993 243.25458 0.0030078124 6.9483333  78.839516 46.947994 122.990524 0 0
1409927030017 242.60307 0.0 6.6583595  78.39112 46.98638 122.803024 0 0
1409927030036 241.80838 0.0 6.436289  77.68695 47.118176 122.607056 0 0
1409927030052 241.62593 0.0 6.4422264  77.46416 47.18294 122.56445 0 0
1409927030130 241.72594 0.010078125 6.5110154  77.46716 47.189583 122.63276 0 0
1409927030138 243.08812 0.029934896 6.9120183  78.37975 47.053204 123.04427 0 0
1409927030153 243.22229 0.033854168 6.950156  78.480675 47.0363 123.081276 0 0
1409927030192 243.38089 0.040169273 6.955859  78.61715 47.004166 123.12286 0 0
1409927030204 243.56541 0.04433594 6.9408984  78.79707 46.968254 123.18029 0 0
1409927030221 243.6686 0.05078125 6.998151  78.91616 46.95505 123.20198 0 0
1409927030281 243.71938 0.055390626 7.0060678  78.963776 46.942265 123.21508 0 0
1409927030318 243.70032 0.064427085 6.9695573  78.99944 46.920547 123.20226 0 0
1409927030373 243.71411 0.050429687 7.033021  79.101654 46.898827 123.19502 0 0
1409927030391 243.72823 0.038072918 7.026289  79.04853 46.912186 123.204636 0 0
1409927030425 243.77834 0.043815102 7.0122914  79.111305 46.89177 123.21362 0 0
1409927030449 243.93776 0.06140625 7.048164  79.27229 46.853203 123.251305 0 0
1409927030458 244.00948 0.06095052 7.1168227  79.33246 46.856354 123.268776 0 0
1409927030497 244.0938 0.07626302 7.0967836  79.451324 46.81685 123.28586 0 0
1409927030535 244.1738 0.091484375 7.1074347  79.54117 46.798904 123.30148 0 0
1409927030541 244.29718 0.095390625 7.1872525  79.64189 46.789246 123.3324 0 0
1409927030560 244.3639 0.10851563 7.152461  79.72596 46.760597 123.35104 0 0
1409927030623 244.3126 0.11244792 7.123789  79.70797 46.759453 123.330025 0 0
1409927030626 243.81563 0.12997396 7.0090756  79.4653 46.779194 123.18005 0 0
1409927030644 243.5012 0.11063802 6.9367056  79.212746 46.831875 123.10422 0 0
1409927030703 243.24208 0.07489584 6.8363543  78.93105 46.8812 123.046745 0 0
1409927030715 243.11208 0.05076823 6.9020834  78.72306 46.959373 123.03034 0 0
1409927030726 243.15692 0.05563802 6.732018  78.74865 46.933594 123.03641 0 0
1409927030744 243.24812 0.05266927 6.7840104  78.80249 46.935886 123.06596 0 0
1409927030786 243.38573 0.05738281 6.836055  78.90947 46.917316 123.10083 0 0
1409927030797 243.67229 0.092760414 6.926237  79.20701 46.863983 123.16857 0 0
1409927030847 243.78865 0.11584635 6.957721  79.34773 46.8319 123.19469 0 0
1409927030881 243.99203 0.13648437 7.1746745  79.60051 46.80219 123.23515 0 0
1409927030914 243.96349 0.15628906 7.1998568  79.628006 46.797134 123.22214 0 0
1409927030985 243.93636 0.15496093 7.17707  79.61323 46.797813 123.21247 0 0
1409927031017 244.08661 0.20143229 7.2445574  79.78509 46.769634 123.242134 0 0
1409927031053 244.16844 0.20697917 7.2909894  79.849945 46.765415 123.268906 0 0
1409927031067 244.41484 0.28178385 7.3926563  80.12422 46.720676 123.323044 0 0
1409927031081 244.48744 0.31665364 7.386901  80.21987 46.69401 123.335754 0 0
1409927031124 244.54375 0.31942707 7.402005  80.2606 46.685886 123.34768 0 0
1409927031149 244.59157 0.31347656 7.3925653  80.28081 46.67555 123.36326 0 0
1409927031165 244.51755 0.24970052 7.4242578  80.23644 46.69393 123.34852 0 0
1409927031193 244.59584 0.2875651 7.467526  80.35119 46.671535 123.36028 0 0
1409927031200 244.59724 0.29819012 7.4280467  80.364716 46.65763 123.359375 0 0
1409927031233 244.43808 0.31153646 7.3848047  80.29805 46.661613 123.30677 0 0
1409927031250 244.13896 0.31040365 7.279375  80.13014 46.674793 123.22234 0 0
1409927031291 243.74599 0.28348958 7.2011065  79.847145 46.723385 123.11568 0 0
1409927031302 243.16255 0.17424479 7.1640625  79.29965 46.860806 122.97625 0 0
1409927031338 243.08136 0.14572917 7.116068  79.161736 46.889374 122.96591 0 0
1409927031363 243.07208 0.1276823 7.1441274  79.11039 46.909973 122.97258 0 0
1409927031370 243.16203 0.12498698 7.1765494  79.146774 46.911015 122.99971 0 0
1409927031386 243.25479 0.12764323 7.193685  79.204414 46.899532 123.026924 0 0
1409927031402 243.3613 0.13839844 7.242513  79.2966 46.889244 123.05445 0 0
1409927031486 243.49329 0.16148438 7.285664  79.43015 46.862995 123.08656 0 0
1409927031530 243.70448 0.20790364 7.334453  79.6512 46.814636 123.129425 0 0
1409927031573 243.82083 0.36376303 7.4048696  79.96956 46.74677 123.129036 0 0
1409927031605 243.861 0.44946614 7.4880466  80.12112 46.723907 123.12594 0 0
1409927031641 243.8823 0.43980467 7.4690886  80.12995 46.717266 123.13456 0 0
1409927031661 243.94199 0.4521224 7.538229  80.18472 46.719738 123.14703 0 0
1409927031716 244.01593 0.47803384 7.5375  80.26122 46.69935 123.162994 0 0
1409927031722 244.115 0.45807293 7.5220704  80.291695 46.687786 123.19036 0 0
1409927031779 244.15746 0.43441406 7.492396  80.28587 46.68656 123.20779 0 0
1409927031790 244.25041 0.42589843 7.49987  80.336395 46.67172 123.23487 0 0
1409927031808 244.13808 0.32800782 7.7495704  80.24397 46.7307 123.19909 0 0
1409927031834 244.07666 0.32634115 7.6748567  80.20474 46.71854 123.17792 0 0
1409927031861 243.8688 0.31507814 7.607969  80.07422 46.73328 123.11912 0 0
1409927031874 243.49417 0.29708335 7.4857554  79.81217 46.76776 123.01953 0 0
1409927031891 243.13417 0.2504427 7.409974  79.51225 46.829113 122.9375 0 0
1409927031909 242.80927 0.16864583 7.3445964  79.16203 46.911953 122.8694 0 0
1409927031964 242.64574 0.11049479 7.295964  78.93494 46.968983 122.8451 0 0
1409927031976 242.6278 0.08792969 7.319831  78.82038 47.01453 122.85716 0 0
1409927031992 242.84938 0.10429688 7.160065  78.91922 46.952526 122.90654 0 0
1409927032070 242.97604 0.11507812 7.2034636  79.02519 46.937866 122.93912 0 0
1409927032077 243.23114 0.1071875 7.2211328  79.16104 46.90711 123.01336 0 0
1409927032132 243.52885 0.14907552 7.326159  79.45358 46.881874 123.0932 0 0
1409927032169 243.49156 0.14860678 7.2746487  79.44116 46.866978 123.076744 0 0
1409927032193 243.44421 0.13261719 7.231927  79.38664 46.871902 123.06482 0 0
1409927032196 243.44771 0.13833334 7.2364454  79.39256 46.869373 123.064896 0 0
1409927032212 243.46338 0.14627604 7.264583  79.41659 46.869713 123.06755 0 0
1409927032229 243.51865 0.15654948 7.2572265  79.45893 46.857082 123.08286 0 0
1409927032311 243.5963 0.17442708 7.287435  79.54999 46.840366 123.09919 0 0
1409927032324 243.73172 0.17542969 7.311901  79.64487 46.822968 123.1363 0 0
1409927032375 243.76588 0.15915364 7.3102736  79.63806 46.82818 123.14711 0 0
1409927032429 243.92891 0.14871094 7.2658854  79.720726 46.79297 123.19255 0 0
1409927032540 244.05177 0.16483073 7.3066015  79.8413 46.77362 123.22028 0 0
1409927032585 242.43813 0.04027344 6.8879037  78.43207 47.04026 122.8282 0 0
1409927032655 242.34323 0.036158856 6.968854  78.27103 47.08927 122.811325 0 0
1409927032720 242.66922 0.039739583 7.058685  78.47409 47.065495 122.90268 0 0
1409927032811 242.82152 0.035546876 7.040586  78.55137 47.03875 122.94321 0 0
1409927032844 242.80704 0.04 7.0472655  78.59508 47.026093 122.93409 0 0
1409927032941 242.85516 0.034947917 7.053802  78.594284 47.03 122.95073 0 0
1409927032974 243.09177 0.036901042 7.0929036  78.74729 46.998333 123.00987 0 0
1409927033100 243.19073 0.030039063 7.0872655  78.79479 46.985546 123.038414 0 0
1409927033135 242.35979 0.007473958 6.797018  78.105896 47.092552 122.826324 0 0
1409927033158 242.0352 1.953125E-4 6.7453384  77.69422 47.191902 122.76362 0 0
1409927033233 241.78203 0.0 6.726367  77.155754 47.3387 122.7451 0 0
1409927033329 241.89209 0.0 6.832578  76.98806 47.40893 122.804245 0 0
1409927033356 243.3388 0.0 7.0842576  78.04677 47.22211 123.23484 0 0
1409927033420 243.32709 0.0 7.066979  78.03013 47.22216 123.23172 0 0
1409927033483 243.36479 0.0 7.0774217  78.03361 47.22367 123.242165 0 0
1409927033550 243.57724 0.0 7.1151824  78.17628 47.19789 123.30112 0 0
1409927033565 243.82124 0.0011458333 7.151849  78.4503 47.134426 123.35495 0 0
