时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409910343245 213.19655 31.897318 11.370403  88.178154 45.59336 104.631325 0 0
1409910343267 213.2158 31.92556 11.354023  88.19494 45.58073 104.63031 0 0
1409910343361 213.27654 31.96991 11.365013  88.232475 45.573853 104.6355 0 0
1409910343392 213.61464 32.180965 11.372084  88.4293 45.519245 104.66953 0 0
1409910343401 213.7251 32.222176 11.519935  88.49039 45.528828 104.68086 0 0
1409910343418 213.79173 32.28147 11.495534  88.53512 45.51021 104.685524 0 0
1409910343435 213.86519 32.312225 11.518333  88.57433 45.5062 104.69539 0 0
1409910343463 213.94295 32.37629 11.50138  88.62395 45.487137 104.70115 0 0
1409910343527 214.0801 32.439102 11.545768  88.69689 45.482605 104.71779 0 0
1409910343556 214.3674 32.632473 11.596419  88.87613 45.440468 104.74271 0 0
1409910343572 214.49432 32.742813 11.586002  88.963936 45.415703 104.75099 0 0
1409910343654 214.57072 32.80552 11.600508  89.01669 45.40133 104.75628 0 0
1409910343697 214.86136 33.047226 11.633437  89.21867 45.35487 104.77292 0 0
1409910343725 214.50284 32.85488 11.556576  89.016914 45.386093 104.73419 0 0
1409910343739 213.22235 32.014713 11.373333  88.23434 45.559322 104.61779 0 0
1409910343756 212.81323 31.703463 11.362396  87.96936 45.632996 104.58675 0 0
1409910343773 212.61392 31.495989 11.26944  87.798805 45.650208 104.585 0 0
1409910343824 212.56921 31.407564 11.197083  87.73905 45.662033 104.592606 0 0
1409910343862 212.72253 31.43392 11.229492  87.794846 45.658047 104.61992 0 0
1409910343900 212.85257 31.473984 11.250521  87.8522 45.64771 104.63945 0 0
1409910343908 212.83456 31.443125 11.267032  87.83452 45.659973 104.64016 0 0
1409910343924 212.78676 31.412514 11.254662  87.80391 45.663097 104.63711 0 0
1409910343942 212.8255 31.409792 11.265547  87.81408 45.66594 104.644424 0 0
1409910343996 212.84036 31.412695 11.288711  87.82043 45.66875 104.645966 0 0
1409910344088 212.73201 31.3331 11.265286  87.74766 45.68599 104.63849 0 0
1409910344124 212.62283 31.224258 11.235508  87.66008 45.702137 104.63573 0 0
1409910344130 212.66972 31.242708 11.2526045  87.68348 45.69771 104.641174 0 0
1409910344143 212.76425 31.294323 11.254049  87.73518 45.68294 104.653595 0 0
