时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409927222935 211.44516 32.169178 19.926731  88.81025 47.851536 103.858154 0 0
1409927222958 214.17075 34.089855 21.025274  90.62962 47.627735 104.05552 0 0
1409927223034 214.86421 34.381092 21.54763  91.01095 47.64677 104.13023 0 0
1409927223051 215.86147 35.06108 21.713554  91.63344 47.51388 104.21578 0 0
1409927223109 215.69945 34.923283 21.67901  91.518845 47.538933 104.20552 0 0
1409927223127 214.92564 34.39892 21.318567  91.01168 47.59203 104.148384 0 0
1409927223177 214.83418 34.32794 21.30371  90.94926 47.60768 104.14182 0 0
1409927223189 214.81636 34.260887 21.333412  90.90697 47.61737 104.15268 0 0
1409927223203 214.99586 34.34233 21.388268  91.00439 47.606693 104.17307 0 0
1409927223306 215.17061 34.4437 21.388515  91.099 47.57805 104.19312 0 0
1409927223365 215.77301 34.778854 21.449791  91.43694 47.49979 104.2582 0 0
1409927223428 216.06825 34.97871 21.575325  91.62832 47.477264 104.28203 0 0
1409927223453 216.00302 34.96345 21.558685  91.59589 47.473907 104.27297 0 0
1409927223456 215.33359 34.60957 21.431902  91.2287 47.541275 104.1994 0 0
1409927223514 214.40373 34.025024 21.34491  90.67652 47.67599 104.10961 0 0
1409927223524 213.16075 33.172684 20.884115  89.86801 47.787056 104.011925 0 0
1409927223598 213.08327 33.036263 20.899714  89.77699 47.816746 104.02018 0 0
1409927223609 213.92708 33.442226 21.104908  90.23 47.742004 104.1194 0 0
1409927223685 214.2453 33.614624 21.176785  90.40987 47.713413 104.15352 0 0
1409927223784 214.98242 34.064754 21.328047  90.846695 47.628906 104.22636 0 0
1409927223853 214.92386 34.009674 21.308111  90.80041 47.634556 104.22446 0 0
1409927223864 215.22865 34.185402 21.356693  90.9773 47.598724 104.256874 0 0
1409927223906 215.44212 34.273605 21.411432  91.0864 47.586197 104.2844 0 0
1409927223920 215.69789 34.427788 21.433268  91.23401 47.548412 104.31029 0 0
1409927223930 215.88 34.544662 21.50474  91.34647 47.53568 104.32797 0 0
1409927223949 216.0731 34.682137 21.500443  91.46934 47.500755 104.342316 0 0
1409927224015 216.22653 34.82001 21.562813  91.585785 47.481823 104.348335 0 0
1409927224041 216.2917 34.828503 21.590494  91.60702 47.476563 104.36096 0 0
1409927224101 216.35643 34.913162 21.569115  91.66639 47.454323 104.35956 0 0
1409927224134 216.39655 34.98259 21.59082  91.711006 47.445103 104.35479 0 0
1409927224237 214.8371 34.114113 21.298906  90.831345 47.61492 104.18836 0 0
1409927224290 214.39217 33.529884 21.070091  90.40216 47.715103 104.20307 0 0
1409927224357 214.90878 33.744038 21.24164  90.66586 47.684452 104.26841 0 0
1409927224418 215.8936 34.383957 21.401354  91.27412 47.55492 104.360466 0 0
1409927224446 215.90941 34.36893 21.461979  91.274086 47.569088 104.364426 0 0
1409927224510 215.8252 34.319244 21.446758  91.22227 47.57901 104.3568 0 0
1409927224521 215.18932 33.934975 21.442747  90.85125 47.66302 104.290596 0 0
1409927224601 215.35681 34.044113 21.48836  90.95322 47.641693 104.306564 0 0
1409927224604 215.93115 34.353333 21.59866  91.27535 47.582787 104.37154 0 0
1409927224660 216.13086 34.508152 21.6116  91.406456 47.54716 104.38589 0 0
1409927224677 216.3548 34.65275 21.651472  91.54384 47.51987 104.40547 0 0
1409927224695 216.33775 34.653893 21.647161  91.53685 47.51943 104.40211 0 0
1409927224762 216.38771 34.66676 21.693542  91.561966 47.522343 104.40862 0 0
1409927224763 216.58916 34.826603 21.734518  91.70128 47.494087 104.42167 0 0
1409927224841 216.67226 34.878815 21.787487  91.75437 47.493828 104.427605 0 0
1409927224859 215.98326 34.551952 21.578074  91.38537 47.541668 104.34563 0 0
1409927224916 215.06778 34.004246 21.36716  90.840935 47.638283 104.25599 0 0
1409927224925 213.61986 32.935963 20.947592  89.882484 47.820625 104.14844 0 0
1409927225012 213.77824 32.989975 21.000027  89.95475 47.813725 104.1718 0 0
1409927225034 215.10071 33.674416 21.22901  90.676025 47.66961 104.32156 0 0
1409927225122 215.38095 33.861107 21.336914  90.8598 47.645416 104.34541 0 0
1409927225219 215.43842 34.014725 21.344519  90.954544 47.62237 104.330315 0 0
1409927225263 215.21718 33.81422 21.281744  90.784645 47.651848 104.32094 0 0
1409927225305 215.6968 34.120182 21.393711  91.082565 47.59565 104.36568 0 0
1409927225315 215.85033 34.215717 21.418724  91.171265 47.578465 104.38156 0 0
