时间截 R分量 G分量 B分量  Y分量 U分量 V分量 脉搏 血氧
1409910918709 242.69156 3.0851302 2.7876563  81.75245 44.692448 121.63294 0 0
1409910918722 242.74161 3.101315 2.7919922  81.78185 44.687134 121.64695 0 0
1409910918752 242.78442 3.1159766 2.7879298  81.82629 44.67841 121.65938 0 0
1409910918825 242.82558 3.1332293 2.8098958  81.863884 44.671406 121.668175 0 0
1409910918837 243.00708 3.3201041 2.7845314  82.09052 44.6037 121.69518 0 0
1409910918865 243.0723 3.3751693 2.7997916  82.16626 44.581173 121.706955 0 0
1409910918871 243.10834 3.3882291 2.8227603  82.20267 44.5762 121.71531 0 0
1409910918887 243.1512 3.3833723 2.8409636  82.22402 44.58172 121.73422 0 0
1409910918905 243.175 3.39306 2.8079298  82.24349 44.564636 121.73578 0 0
1409910918964 243.20401 3.4335938 2.8174348  82.29126 44.555653 121.73979 0 0
1409910918971 243.26079 3.4752734 2.8082683  82.34681 44.536743 121.74495 0 0
1409910918990 243.26614 3.5003645 2.791823  82.36737 44.524662 121.7467 0 0
1409910919017 243.19016 3.503047 2.8385286  82.33752 44.54375 121.72089 0 0
1409910919052 243.03151 3.4553256 2.8132422  82.222786 44.571667 121.68255 0 0
1409910919056 242.82713 3.271979 2.8176954  81.97569 44.644634 121.65271 0 0
1409910919075 242.65271 3.040039 2.8626301  81.71536 44.73435 121.6488 0 0
1409910919092 242.58714 2.8874478 2.9034114  81.567955 44.791092 121.66547 0 0
1409910919120 242.57364 2.7824478 2.9085677  81.47868 44.821537 121.68995 0 0
1409910919125 242.55225 2.7003906 2.904883  81.40074 44.841537 121.699715 0 0
1409910919156 242.57109 2.660651 2.9321616  81.37724 44.857346 121.71792 0 0
1409910919176 242.5987 2.6294532 2.928073  81.37006 44.855755 121.73878 0 0
1409910919227 242.62692 2.6084375 2.953073  81.37054 44.86305 121.75031 0 0
1409910919266 242.66672 2.5909896 2.9890494  81.3729 44.87961 121.76885 0 0
1409910919323 242.67146 2.6060548 2.974323  81.38307 44.87417 121.769196 0 0
1409910919327 242.61302 2.5291016 2.9551563  81.2965 44.887604 121.76266 0 0
1409910919369 242.57912 2.52694 2.9584634  81.27547 44.895416 121.75201 0 0
1409910919377 242.56265 2.5058594 2.9563801  81.25013 44.90073 121.75365 0 0
1409910919393 242.52406 2.440664 2.9490104  81.182465 44.92435 121.74888 0 0
1409910919417 242.53844 2.4361718 2.953763  81.17956 44.92323 121.75724 0 0
1409910919471 242.54 2.4005468 2.95125  81.157486 44.928776 121.7676 0 0
1409910919478 242.53964 2.405729 2.9492056  81.16027 44.922398 121.767525 0 0
1409910919501 242.57933 2.4547396 2.953099  81.22301 44.909035 121.76646 0 0
1409910919576 242.62984 2.5067317 2.9532292  81.28948 44.89255 121.77226 0 0
1409910919604 242.80609 2.6547525 2.996211  81.50224 44.8475 121.80174 0 0
1409910919632 242.86943 2.713646 2.9951954  81.58927 44.81901 121.80742 0 0
1409910919698 242.92406 2.7851043 3.0058463  81.668076 44.795677 121.81042 0 0
1409910919716 242.92432 2.757448 2.971224  81.6559 44.790443 121.81487 0 0
1409910919734 242.97067 2.7746484 2.9847655  81.69074 44.784714 121.822525 0 0
1409910919807 243.00417 2.819375 2.9651823  81.74003 44.75974 121.82339 0 0
1409910919818 243.06781 2.8909504 2.9745443  81.84399 44.73245 121.82914 0 0
1409910919861 243.1087 2.9425652 2.9822786  81.89435 44.72138 121.82875 0 0
1409910919868 243.11021 2.9771223 2.9416797  81.91927 44.705235 121.818306 0 0
1409910919884 243.13333 3.010625 2.9398308  81.95688 44.689064 121.81922 0 0
1409910919899 243.16307 3.052526 2.9614844  82.00466 44.67823 121.816925 0 0
1409910919950 243.1175 3.0339584 2.9576693  81.96764 44.68763 121.8106 0 0
1409910919977 242.6815 2.7785416 2.8770313  81.53962 44.787395 121.72076 0 0
1409910919991 242.48495 2.5989323 2.871927  81.29406 44.86318 121.70138 0 0
1409910920054 242.36162 2.422448 2.8702996  81.07694 44.922733 121.699165 0 0
1409910920106 242.42146 2.3373177 2.746354  80.90936 44.956066 121.743256 0 0
1409910920121 242.50874 2.3848698 2.7805338  80.9925 44.94547 121.759895 0 0
1409910920136 242.51422 2.3913803 2.7603385  81.002686 44.935963 121.761566 0 0
1409910920162 242.54053 2.4222136 2.7942708  81.04625 44.932186 121.764404 0 0
1409910920213 242.57364 2.42431 2.7941928  81.06746 44.92526 121.77448 0 0
1409910920220 242.54224 2.412448 2.785573  81.03858 44.931328 121.76378 0 0
1409910920238 242.52875 2.3909113 2.7986069  81.018265 44.9425 121.76758 0 0
1409910920280 242.51828 2.368164 2.7843359  80.985954 44.948933 121.77253 0 0
1409910920323 242.4961 2.2927344 2.7976692  80.91797 44.97047 121.78508 0 0
1409910920374 242.50693 2.2938542 2.7887762  80.91927 44.97073 121.78484 0 0
1409910920441 242.60703 2.3446746 2.7974348  81.01489 44.94828 121.8092 0 0
1409910920456 242.70828 2.44319 2.7746093  81.15107 44.901512 121.81701 0 0
1409910920480 242.72641 2.470612 2.7927084  81.18739 44.894375 121.81612 0 0
1409910920502 242.73833 2.487526 2.7737892  81.20456 44.882214 121.81526 0 0
1409910920511 242.70583 2.4653516 2.8574088  81.20465 44.904842 121.81281 0 0
1409910920542 242.72682 2.480026 2.8482032  81.22934 44.896225 121.81906 0 0
1409910920559 242.73317 2.5053775 2.8208854  81.250374 44.880833 121.8119 0 0
1409910920608 242.75136 2.5144923 2.8235807  81.26944 44.876408 121.8163 0 0
1409910920631 242.7689 2.565651 2.8016667  81.3238 44.851093 121.81357 0 0
1409910920644 242.79886 2.5691016 2.805573  81.332306 44.85604 121.8188 0 0
1409910920687 242.80495 2.5795703 2.779935  81.347145 44.839558 121.820885 0 0
1409910920695 242.88109 2.6691537 2.7645183  81.46344 44.80453 121.82523 0 0
1409910920726 242.91214 2.6971745 2.7728906  81.504456 44.79526 121.8312 0 0
1409910920744 242.88885 2.7074609 2.7814975  81.502815 44.798256 121.8218 0 0
1409910920800 242.77432 2.6745572 2.7482681  81.41814 44.809845 121.79708 0 0
1409910920815 242.16078 2.210599 2.7902474  80.70004 45.024715 121.69362 0 0
1409910920882 242.08057 2.0804818 2.7870443  80.5469 45.070885 121.70138 0 0
1409910920907 242.12839 1.9448047 2.9176042  80.4428 45.121407 121.73953 0 0
1409910920958 242.19855 1.9242058 2.9392188  80.46359 45.122814 121.76964 0 0
1409910920964 242.27505 1.9621093 2.977409  80.53615 45.113934 121.78893 0 0
1409910920982 242.29031 1.9479427 2.9868228  80.53107 45.11831 121.798904 0 0
1409910921026 242.30406 1.9496094 2.977487  80.53361 45.116016 121.80253 0 0
1409910921048 242.30322 1.9366536 2.9658334  80.53733 45.113983 121.80539 0 0
1409910921085 242.2862 1.9388151 2.996224  80.52453 45.12242 121.799065 0 0
1409910921138 242.23984 1.9092448 3.019336  80.48292 45.14534 121.79227 0 0
1409910921153 242.28593 1.8773047 3.0253386  80.477875 45.147057 121.8225 0 0
1409910921212 242.34947 1.9088672 3.0371614  80.53652 45.132942 121.83424 0 0
1409910921216 242.62302 2.020065 3.115599  80.787796 45.089478 121.91497 0 0
1409910921270 242.64833 2.0464845 3.1068099  80.827446 45.078125 121.91706 0 0
1409910921284 242.66354 2.0427475 3.1129296  80.83867 45.079506 121.92083 0 0
1409910921301 242.67766 2.041159 3.0957422  80.84253 45.069035 121.925705 0 0
1409910921339 242.71223 2.0863543 3.0848958  80.88443 45.056015 121.92677 0 0
1409910921374 242.7325 2.1023958 3.1045964  80.92651 45.047684 121.92607 0 0
